accountID,customerID,branchID,accountType,balance,openDate,status
A10001,C0966,B172,Savings,46161.22,2016-09-20,Closed
A10002,C3573,B174,Loan,61183.25,2021-05-07,Closed
A10003,C4412,B058,Savings,87585.12,2017-11-25,Active
A10004,C1511,B097,Savings,45668.48,2022-04-24,Dormant
A10005,C1439,B015,Savings,64256.37,2024-03-01,Closed
A10006,C3071,B021,Credit,58659.07,2021-03-14,Closed
A10007,C3523,B119,Credit,90752.85,2024-08-08,Active
A10008,C2159,B071,Checking,35098.95,2019-02-08,Active
A10009,C1450,B140,Loan,80121.35,2020-07-14,Dormant
A10010,C2641,B110,Loan,22313.78,2017-06-21,Closed
A10011,C4871,B073,Credit,54605.79,2023-10-03,Closed
A10012,C4652,B131,Loan,38394.43,2016-06-21,Dormant
A10013,C0169,B137,Checking,85007.34,2021-01-01,Active
A10014,C0611,B199,Checking,46634.71,2019-02-14,Closed
A10015,C3786,B081,Credit,58211.91,2023-10-29,Active
A10016,C1791,B046,Credit,22341.19,2023-04-02,Closed
A10017,C2352,B184,Checking,43660.3,2017-07-23,Dormant
A10018,C3538,B144,Credit,44818.05,2015-12-29,Dormant
A10019,C3516,B026,Loan,44507.95,2021-09-09,Closed
A10020,C1981,B085,Savings,62424.91,2023-05-12,Closed
A10021,C4452,B012,Loan,53399.67,2020-10-19,Dormant
A10022,C3491,B044,Loan,28416.38,2020-06-10,Closed
A10023,C1535,B148,Loan,19498.38,2021-05-20,Dormant
A10024,C3566,B105,Savings,18857.42,2015-06-18,Active
A10025,C3284,B008,Credit,23467.27,2019-08-02,Closed
A10026,C3341,B193,Savings,18901.14,2020-01-22,Active
A10027,C3219,B050,Loan,46265.76,2017-04-18,Closed
A10028,C0974,B004,Checking,57619.04,2025-05-06,Active
A10029,C4937,B065,Loan,47159.84,2024-07-22,Active
A10030,C2841,B171,Loan,30756.25,2016-01-15,Dormant
A10031,C0026,B183,Savings,38947.15,2022-09-30,Active
A10032,C3097,B156,Credit,81142.43,2020-07-19,Closed
A10033,C0074,B151,Savings,40825.89,2018-02-08,Closed
A10034,C3770,B011,Credit,66241.41,2016-08-06,Closed
A10035,C2565,B056,Savings,57567.38,2019-02-14,Dormant
A10036,C0602,B054,Savings,31295.02,2021-10-29,Closed
A10037,C0380,B008,Checking,97218.01,2023-01-14,Active
A10038,C3939,B096,Credit,18921.69,2018-01-11,Active
A10039,C3532,B017,Loan,6184.52,2023-05-23,Dormant
A10040,C2380,B085,Checking,81492.86,2022-03-13,Dormant
A10041,C0135,B016,Checking,64633.7,2016-09-10,Closed
A10042,C2591,B036,Checking,65701.64,2021-11-30,Active
A10043,C3228,B130,Savings,68841.3,2020-02-14,Active
A10044,C1727,B082,Savings,69279.55,2023-07-05,Active
A10045,C1332,B059,Loan,2762.27,2016-10-13,Active
