accountID,customerID,branchID,accountType,balance,openDate,status
A10001,C3197,B112,Loan,45935.08,2020-03-21,Closed
A10002,C1155,B032,Checking,67812.09,2023-12-03,Active
A10003,C2808,B163,Credit,70180.57,2023-05-25,Active
A10004,C4816,B038,Credit,88764.9,2020-01-24,Active
A10005,C3172,B196,Checking,61396.28,2019-12-01,Active
A10006,C0672,B162,Savings,38018.46,2025-03-26,Dormant
A10007,C0611,B043,Credit,24034.44,2024-10-02,Active
A10008,C0812,B115,Credit,73411.38,2022-09-19,Active
A10009,C3856,B088,Credit,61052.39,2025-06-03,Active
A10010,C0583,B002,Savings,38074.86,2016-04-15,Active
A10011,C1714,B149,Credit,61424.97,2020-06-08,Active
A10012,C3877,B144,Credit,15752.16,2025-01-31,Closed
A10013,C3688,B057,Credit,85832.63,2022-10-26,Closed
A10014,C4910,B026,Credit,94806.64,2024-05-13,Active
A10015,C4687,B062,Loan,88302.87,2018-11-08,Active
A10016,C0761,B115,Savings,96800.53,2017-09-10,Dormant
A10017,C2311,B070,Credit,51853.0,2022-10-22,Active
A10018,C1916,B099,Savings,72626.35,2015-12-30,Dormant
A10019,C4323,B058,Credit,5634.03,2022-06-18,Active
A10020,C3415,B044,Savings,41136.59,2024-01-18,Active
A10021,C3549,B176,Checking,14665.62,2020-12-30,Active
A10022,C2168,B148,Checking,13600.68,2017-02-27,Dormant
A10023,C2259,B186,Credit,16375.82,2023-03-07,Active
A10024,C0908,B046,Checking,33430.7,2020-11-17,Active
A10025,C1221,B067,Savings,35887.24,2016-11-07,Active
A10026,C1389,B151,Credit,70173.4,2017-02-28,Dormant
A10027,C1594,B044,Credit,10615.61,2024-07-17,Active
A10028,C3205,B199,Savings,83675.42,2019-01-13,Dormant
A10029,C2161,B152,Loan,54516.64,2024-12-30,Closed
A10030,C4432,B055,Savings,21938.41,2023-07-22,Closed
A10031,C1298,B056,Credit,8642.81,2018-12-07,Active
A10032,C2940,B141,Savings,41122.48,2020-05-09,Dormant
A10033,C1579,B045,Savings,83749.47,2019-04-25,Active
A10034,C2809,B051,Savings,53941.26,2016-07-18,Dormant
A10035,C0019,B198,Loan,16504.3,2025-05-31,Closed
A10036,C1818,B127,Loan,89580.65,2019-03-01,Active
A10037,C0354,B121,Credit,92480.55,2022-10-05,Closed
A10038,C2471,B081,Checking,15654.55,2017-10-02,Closed
A10039,C3492,B188,Credit,71184.11,2018-10-05,Closed
A10040,C4573,B088,Credit,88119.79,2017-07-11,Closed
A10041,C1691,B093,Credit,76562.49,2021-02-09,Closed
A10042,C1817,B057,Checking,9524.54,2024-04-14,Dormant
A10043,C1198,B010,Credit,66729.69,2018-08-23,Active
A10044,C2907,B189,Checking,80986.77,2021-04-27,Dormant
A10045,C1306,B171,Loan,68422.56,2021-04-27,Active
A10046,C2799,B132,Loan,31784.45,2023-06-16,Dormant
A10047,C4271,B199,Credit,30052.14,2020-07-13,Dormant
A10048,C2913,B136,Credit,75794.3,2016-01-20,Dormant
A10049,C4075,B097,Loan,86683.47,2024-06-07,Active
A10050,C4113,B173,Loan,54077.24,2017-05-25,Closed
A10051,C1641,B093,Checking,67045.5,2020-04-23,Dormant
A10052,C2155,B196,Credit,13815.98,2023-06-04,Closed
A10053,C4808,B065,Savings,3707.12,2019-06-19,Closed
A10054,C2267,B113,Loan,51196.95,2017-11-20,Closed
A10055,C1038,B018,Credit,31079.11,2018-07-21,Closed
A10056,C4237,B075,Credit,23762.1,2025-03-12,Active
A10057,C2390,B172,Savings,82223.85,2018-12-08,Closed
A10058,C2108,B044,Credit,34475.74,2016-08-29,Active
A10059,C3049,B116,Loan,64863.2,2019-07-18,Closed
A10060,C3065,B173,Credit,10446.26,2018-02-21,Dormant
A10061,C3720,B041,Credit,30867.2,2022-08-16,Closed
A10062,C4963,B117,Savings,13913.95,2015-07-19,Closed
A10063,C3900,B033,Savings,78575.6,2022-11-12,Dormant
A10064,C1663,B111,Checking,53786.0,2017-10-17,Closed
A10065,C4983,B175,Credit,23710.04,2016-04-24,Closed
A10066,C2507,B064,Credit,65755.61,2016-07-02,Dormant
A10067,C0990,B197,Checking,30009.81,2017-02-21,Active
A10068,C2059,B030,Loan,9826.53,2021-05-29,Active
A10069,C1947,B131,Credit,58981.99,2018-12-08,Active
A10070,C2818,B140,Checking,54022.12,2022-05-01,Dormant
A10071,C3988,B012,Credit,3147.59,2021-05-08,Dormant
A10072,C1553,B056,Loan,53793.17,2017-04-02,Active
A10073,C0185,B002,Checking,54826.96,2017-03-13,Dormant
A10074,C1336,B088,Credit,23508.82,2019-10-29,Closed
A10075,C1514,B150,Loan,313.06,2021-02-23,Dormant
A10076,C4596,B149,Credit,54358.05,2019-03-24,Dormant
A10077,C1702,B194,Loan,97853.71,2020-11-22,Active
A10078,C4129,B142,Loan,96114.55,2016-08-04,Dormant
A10079,C3041,B180,Credit,20541.98,2024-09-17,Closed
A10080,C3526,B118,Checking,39471.39,2023-12-08,Dormant
A10081,C4076,B159,Loan,19478.55,2019-06-30,Active
A10082,C3295,B042,Loan,21725.6,2017-01-24,Dormant
A10083,C1256,B039,Checking,98823.68,2022-10-25,Closed
A10084,C1912,B059,Checking,79267.64,2024-07-23,Closed
A10085,C0625,B195,Checking,4643.49,2017-11-29,Closed
A10086,C1791,B014,Checking,95131.38,2021-07-18,Active
A10087,C4041,B048,Savings,21139.59,2025-06-18,Dormant
A10088,C4562,B163,Savings,17045.42,2020-12-11,Dormant
A10089,C0563,B172,Savings,96604.2,2018-10-30,Dormant
A10090,C3901,B047,Savings,68234.09,2024-01-23,Closed
A10091,C4320,B148,Loan,12821.59,2015-09-08,Dormant
A10092,C0534,B167,Loan,41245.43,2016-08-28,Active
A10093,C2598,B147,Savings,56889.41,2022-12-25,Closed
A10094,C1337,B095,Loan,33827.47,2023-03-20,Dormant
A10095,C4317,B072,Credit,43462.85,2022-01-15,Dormant
A10096,C4561,B046,Loan,83879.25,2015-11-04,Dormant
A10097,C1248,B166,Loan,79139.11,2022-12-13,Closed
A10098,C1617,B039,Loan,88218.34,2021-10-07,Active
A10099,C0318,B126,Loan,21545.14,2017-03-13,Active
A10100,C3171,B041,Checking,94403.81,2016-09-02,Active
A10101,C0232,B109,Credit,39198.89,2016-03-03,Active
A10102,C3214,B187,Savings,92943.84,2018-07-04,Dormant
A10103,C0625,B013,Loan,54521.81,2015-10-20,Dormant
A10104,C0540,B073,Savings,14230.93,2017-05-18,Active
A10105,C1883,B087,Loan,81221.35,2024-12-20,Closed
A10106,C3704,B194,Credit,59123.38,2025-03-04,Closed
A10107,C3166,B012,Savings,38853.62,2024-10-27,Closed
A10108,C1932,B173,Checking,4721.08,2022-03-22,Closed
A10109,C4641,B097,Checking,13856.57,2024-07-05,Active
A10110,C2746,B082,Savings,85994.81,2022-03-13,Closed
A10111,C3950,B200,Loan,98798.99,2017-08-18,Dormant
A10112,C2474,B061,Loan,56500.14,2016-03-19,Active
A10113,C3825,B019,Credit,51253.7,2018-10-29,Dormant
A10114,C4857,B183,Loan,91318.1,2016-01-08,Dormant
A10115,C1712,B144,Savings,44445.36,2021-02-09,Closed
A10116,C3726,B037,Savings,13268.64,2024-09-19,Active
A10117,C1986,B097,Checking,83213.51,2022-03-24,Dormant
A10118,C0567,B100,Loan,99952.82,2017-07-05,Closed
A10119,C3892,B008,Loan,65066.42,2021-10-02,Dormant
A10120,C4066,B126,Savings,12724.99,2024-04-11,Dormant
A10121,C3049,B168,Checking,91837.0,2016-10-10,Closed
A10122,C1924,B140,Credit,25530.06,2024-10-24,Closed
A10123,C2646,B190,Loan,39210.51,2020-10-09,Active
A10124,C1360,B125,Loan,55342.02,2022-04-22,Closed
A10125,C0594,B190,Checking,58874.77,2025-05-22,Closed
A10126,C4502,B033,Loan,60814.55,2019-01-28,Dormant
A10127,C1807,B103,Loan,32821.44,2020-08-19,Closed
A10128,C0390,B169,Savings,76052.75,2021-03-27,Closed
A10129,C3403,B080,Checking,85462.68,2021-08-16,Active
A10130,C0791,B133,Credit,57649.52,2018-01-06,Dormant
A10131,C1036,B137,Checking,6106.69,2020-08-10,Closed
A10132,C0873,B192,Savings,63167.35,2019-10-03,Dormant
A10133,C2680,B132,Credit,23734.59,2025-04-29,Active
A10134,C1614,B157,Checking,17946.9,2020-05-18,Dormant
A10135,C1465,B011,Loan,89817.26,2024-10-07,Closed
A10136,C2225,B155,Savings,53845.87,2017-07-12,Dormant
A10137,C4006,B113,Checking,7131.0,2021-06-11,Active
A10138,C1889,B184,Checking,64797.74,2015-09-24,Active
A10139,C1060,B062,Loan,82968.82,2024-05-29,Active
A10140,C3500,B186,Savings,96282.29,2019-05-22,Active
A10141,C0628,B009,Checking,70431.6,2018-08-20,Dormant
A10142,C0400,B127,Credit,91789.36,2024-03-20,Closed
A10143,C0565,B175,Credit,5129.45,2016-06-23,Active
A10144,C0916,B185,Loan,11061.83,2021-12-19,Dormant
A10145,C0155,B121,Savings,32156.23,2024-06-06,Dormant
A10146,C0319,B053,Loan,8230.87,2020-07-07,Active
A10147,C3033,B106,Checking,9224.7,2015-12-23,Dormant
A10148,C1105,B173,Loan,23899.5,2024-08-09,Active
A10149,C3306,B026,Credit,92972.55,2020-01-13,Dormant
A10150,C0854,B009,Loan,93491.43,2015-11-22,Active
A10151,C2627,B115,Credit,1927.4,2024-06-16,Active
A10152,C3423,B037,Loan,60857.18,2022-12-23,Active
A10153,C1253,B192,Checking,19709.79,2020-08-09,Dormant
A10154,C4631,B134,Savings,19493.2,2017-06-10,Dormant
A10155,C0662,B020,Credit,23224.17,2025-03-08,Active
A10156,C2249,B077,Credit,78678.32,2021-02-25,Active
A10157,C1344,B164,Savings,31125.96,2018-09-19,Closed
A10158,C3682,B093,Credit,4902.77,2023-08-02,Closed
A10159,C3147,B027,Credit,7787.18,2017-08-31,Dormant
A10160,C3012,B084,Savings,13483.2,2018-03-21,Closed
A10161,C4451,B077,Credit,59590.67,2015-09-15,Active
A10162,C3303,B017,Loan,24245.45,2023-08-13,Closed
A10163,C0127,B046,Savings,58701.13,2017-09-26,Active
A10164,C0126,B197,Loan,77933.21,2016-05-01,Dormant
A10165,C0369,B043,Credit,7866.51,2018-04-07,Dormant
A10166,C2810,B031,Loan,7213.81,2020-04-16,Dormant
A10167,C0628,B048,Checking,20225.21,2017-09-20,Active
A10168,C1201,B076,Loan,61233.8,2020-03-26,Closed
A10169,C3122,B033,Savings,13172.17,2023-03-11,Dormant
A10170,C2118,B172,Loan,27376.98,2019-11-29,Dormant
A10171,C0454,B046,Loan,70390.37,2022-04-26,Dormant
A10172,C2313,B178,Loan,78090.76,2018-06-25,Closed
A10173,C3966,B112,Credit,34096.48,2025-02-21,Closed
A10174,C0777,B045,Savings,78556.01,2022-08-15,Closed
A10175,C4463,B129,Savings,81892.31,2019-02-12,Dormant
A10176,C4026,B154,Credit,97091.01,2018-07-05,Dormant
A10177,C3899,B068,Loan,56399.55,2022-06-20,Active
A10178,C0933,B155,Savings,43840.95,2025-05-23,Active
A10179,C4815,B023,Loan,88946.12,2020-02-14,Active
A10180,C0205,B161,Credit,32692.34,2019-04-20,Dormant
A10181,C1901,B167,Checking,84791.03,2021-12-08,Dormant
A10182,C0762,B175,Savings,27755.99,2022-09-21,Closed
A10183,C2830,B169,Credit,55487.13,2024-05-06,Closed
A10184,C0361,B142,Loan,80362.9,2021-03-18,Dormant
A10185,C2834,B010,Loan,85118.45,2020-04-02,Active
A10186,C2684,B049,Credit,15453.05,2024-04-01,Closed
A10187,C2665,B095,Savings,22854.0,2015-10-12,Dormant
A10188,C2415,B134,Checking,45025.44,2024-04-10,Dormant
A10189,C1167,B043,Savings,80755.32,2018-08-11,Dormant
A10190,C3739,B166,Loan,95960.48,2017-12-09,Active
A10191,C0338,B086,Savings,21985.77,2016-12-19,Dormant
A10192,C1607,B111,Checking,9975.44,2024-12-09,Active
A10193,C3525,B125,Savings,40698.7,2019-06-28,Dormant
A10194,C1316,B112,Savings,12548.97,2022-12-17,Dormant
A10195,C2164,B118,Credit,82344.74,2025-01-13,Active
A10196,C1209,B200,Credit,74735.55,2021-10-29,Dormant
A10197,C2424,B016,Savings,63455.84,2015-12-05,Closed
A10198,C0882,B069,Credit,82976.79,2018-03-09,Closed
A10199,C3921,B111,Savings,767.64,2021-01-23,Closed
A10200,C4340,B078,Loan,41158.07,2025-03-27,Closed
A10201,C4387,B119,Loan,61705.85,2020-01-23,Closed
A10202,C1060,B183,Loan,8118.45,2019-01-01,Active
A10203,C1833,B074,Checking,15440.05,2019-10-18,Closed
A10204,C2093,B035,Loan,65384.76,2025-02-13,Active
A10205,C4490,B172,Savings,79267.61,2019-12-29,Active
A10206,C3130,B105,Credit,99938.31,2018-04-25,Active
A10207,C3209,B048,Loan,15475.39,2018-05-26,Dormant
A10208,C0079,B046,Checking,79359.26,2023-01-30,Dormant
A10209,C3608,B142,Loan,51330.36,2023-05-27,Active
A10210,C3458,B143,Checking,7307.5,2023-04-19,Active
A10211,C1831,B025,Savings,22564.41,2024-01-18,Closed
A10212,C4811,B088,Savings,96017.48,2019-06-02,Dormant
A10213,C2530,B169,Credit,81887.91,2020-11-09,Active
A10214,C4384,B043,Checking,46688.78,2024-07-24,Active
A10215,C0344,B180,Credit,16646.46,2023-02-11,Dormant
A10216,C2520,B186,Savings,45743.8,2016-07-18,Closed
A10217,C0177,B125,Loan,14686.92,2025-03-23,Active
A10218,C3929,B018,Savings,85848.81,2017-11-16,Active
A10219,C2529,B070,Credit,78894.16,2024-04-16,Dormant
A10220,C3136,B149,Credit,11249.94,2019-09-30,Active
A10221,C4643,B180,Credit,27970.64,2024-09-05,Active
A10222,C3995,B087,Savings,98303.99,2019-07-29,Closed
A10223,C1920,B039,Loan,29342.58,2019-03-27,Closed
A10224,C3700,B173,Credit,9071.52,2019-06-10,Dormant
A10225,C1102,B159,Credit,10361.24,2020-02-28,Active
A10226,C1711,B063,Credit,51804.7,2020-08-14,Active
A10227,C0077,B101,Checking,66231.85,2018-04-09,Closed
A10228,C4529,B121,Loan,82058.53,2023-11-21,Closed
A10229,C0417,B026,Checking,6011.5,2018-11-25,Closed
A10230,C0804,B004,Loan,27717.22,2025-01-07,Dormant
A10231,C4603,B149,Checking,52960.22,2023-05-23,Closed
A10232,C1336,B162,Credit,6102.36,2024-05-16,Active
A10233,C1435,B036,Credit,64220.06,2022-08-23,Active
A10234,C1255,B030,Loan,51702.33,2021-11-09,Dormant
A10235,C0320,B019,Loan,79481.27,2017-09-20,Active
A10236,C0316,B131,Credit,5867.71,2015-11-19,Closed
A10237,C0655,B041,Loan,74702.48,2019-02-14,Closed
A10238,C2265,B104,Checking,57135.62,2022-09-21,Active
A10239,C1892,B047,Credit,89319.26,2019-05-21,Dormant
A10240,C4498,B054,Credit,25135.68,2019-04-12,Active
A10241,C3377,B093,Checking,27130.32,2019-03-27,Dormant
A10242,C1399,B163,Savings,58944.42,2019-12-17,Active
A10243,C2734,B094,Savings,48850.53,2024-05-16,Active
A10244,C4247,B003,Checking,93983.14,2022-05-10,Closed
A10245,C3541,B029,Savings,24901.22,2024-08-12,Dormant
A10246,C0839,B079,Savings,20979.76,2019-09-11,Closed
A10247,C3202,B090,Savings,85607.07,2020-04-10,Closed
A10248,C2225,B106,Checking,15324.01,2019-12-19,Closed
A10249,C3850,B121,Checking,43747.93,2019-11-10,Closed
A10250,C1121,B165,Checking,29447.75,2022-03-09,Dormant
A10251,C3956,B157,Checking,9547.73,2024-08-31,Active
A10252,C2479,B164,Checking,54074.27,2016-03-12,Closed
A10253,C0581,B087,Savings,81044.15,2015-10-04,Dormant
A10254,C0021,B078,Savings,96390.81,2019-05-18,Closed
A10255,C2593,B182,Loan,17370.08,2020-01-21,Dormant
A10256,C1936,B163,Checking,91970.58,2021-01-21,Active
A10257,C4140,B171,Loan,44879.54,2017-03-08,Closed
A10258,C3584,B168,Credit,94693.84,2024-03-11,Active
A10259,C2562,B192,Savings,51614.91,2021-12-08,Closed
A10260,C3595,B018,Credit,68296.48,2017-09-20,Dormant
A10261,C3359,B018,Credit,12940.82,2016-12-12,Dormant
A10262,C4346,B076,Savings,4964.06,2019-02-06,Closed
A10263,C0164,B058,Loan,88644.84,2021-12-18,Closed
A10264,C2208,B050,Credit,60283.88,2015-10-03,Active
A10265,C1196,B122,Savings,45848.83,2023-12-13,Dormant
A10266,C1768,B056,Credit,61900.9,2025-01-22,Dormant
A10267,C4488,B137,Credit,8449.45,2023-03-19,Closed
A10268,C0057,B053,Savings,35755.92,2021-08-10,Closed
A10269,C3038,B117,Loan,39330.85,2018-02-07,Active
A10270,C3617,B167,Checking,93715.48,2017-11-17,Dormant
A10271,C2068,B068,Savings,52143.73,2023-04-17,Dormant
A10272,C2324,B128,Savings,61030.19,2020-06-29,Active
A10273,C2295,B062,Loan,73965.87,2016-01-01,Active
A10274,C0132,B114,Savings,9424.42,2018-11-29,Closed
A10275,C4945,B038,Checking,77985.48,2016-04-24,Closed
A10276,C4390,B100,Credit,732.52,2022-06-04,Closed
A10277,C3282,B159,Loan,71302.35,2017-03-22,Dormant
A10278,C2288,B123,Savings,32769.57,2019-06-16,Active
A10279,C2053,B120,Savings,97004.02,2023-07-03,Dormant
A10280,C3471,B023,Checking,65753.41,2024-12-10,Closed
A10281,C3671,B102,Credit,23088.59,2023-12-07,Closed
A10282,C1923,B190,Loan,87389.72,2017-12-12,Active
A10283,C3283,B186,Savings,68025.39,2021-10-15,Dormant
A10284,C0169,B038,Savings,19395.32,2024-04-24,Dormant
A10285,C1125,B001,Credit,25455.86,2020-03-29,Closed
A10286,C1317,B055,Credit,76121.68,2022-07-26,Dormant
A10287,C1572,B145,Checking,618.0,2019-04-28,Active
A10288,C1387,B014,Savings,45211.34,2015-10-18,Dormant
A10289,C0570,B191,Loan,11319.07,2016-08-05,Closed
A10290,C3152,B161,Credit,10319.49,2018-09-09,Closed
A10291,C4551,B019,Loan,49434.64,2017-11-19,Dormant
A10292,C3472,B012,Credit,15279.8,2021-03-29,Dormant
A10293,C4984,B006,Credit,19422.04,2015-10-22,Dormant
A10294,C2087,B083,Savings,20241.87,2022-10-23,Active
A10295,C1177,B184,Loan,47200.34,2024-11-21,Active
A10296,C1856,B193,Credit,1385.86,2018-01-06,Dormant
A10297,C3020,B131,Checking,51276.76,2018-02-07,Closed
A10298,C4888,B115,Savings,27552.28,2017-01-16,Active
A10299,C0039,B073,Credit,1508.42,2021-03-26,Dormant
A10300,C4329,B030,Savings,49459.29,2021-03-06,Closed
A10301,C4989,B087,Checking,8144.49,2017-08-17,Dormant
A10302,C4392,B136,Loan,7818.06,2016-02-22,Active
A10303,C3654,B011,Checking,75978.88,2022-03-14,Dormant
A10304,C0467,B137,Checking,65002.56,2024-03-04,Dormant
A10305,C4993,B087,Checking,38381.01,2025-02-10,Active
A10306,C2370,B051,Loan,70006.49,2021-08-31,Dormant
A10307,C4076,B125,Savings,25986.27,2019-09-07,Closed
A10308,C4984,B164,Checking,8132.05,2016-11-16,Closed
A10309,C0260,B103,Checking,41543.4,2019-09-10,Dormant
A10310,C1583,B190,Savings,19045.73,2016-10-30,Closed
A10311,C4628,B093,Credit,50450.93,2023-11-23,Closed
A10312,C2069,B140,Checking,71836.55,2022-05-13,Dormant
A10313,C2250,B042,Savings,91329.87,2017-04-24,Active
A10314,C0816,B198,Checking,21498.22,2018-03-01,Closed
A10315,C1440,B178,Credit,93477.84,2019-01-23,Active
A10316,C2100,B157,Loan,17675.16,2015-11-12,Dormant
A10317,C4364,B121,Savings,3955.19,2020-12-25,Active
A10318,C3579,B158,Savings,60871.06,2020-03-30,Active
A10319,C1146,B082,Credit,80667.44,2020-10-15,Dormant
A10320,C3504,B189,Checking,32914.97,2020-03-19,Active
A10321,C1647,B014,Credit,67847.27,2017-01-21,Active
A10322,C0958,B109,Checking,9884.54,2023-10-12,Active
A10323,C4328,B167,Credit,21837.93,2024-10-17,Closed
A10324,C3664,B190,Loan,13913.73,2021-01-22,Closed
A10325,C0943,B136,Loan,16777.68,2023-06-23,Dormant
A10326,C0553,B074,Loan,75684.82,2021-11-05,Closed
A10327,C2039,B027,Checking,40627.42,2023-10-23,Active
A10328,C4812,B136,Savings,96261.48,2021-02-13,Closed
A10329,C2011,B147,Credit,61466.74,2024-04-14,Closed
A10330,C4204,B014,Credit,67682.35,2022-12-28,Active
A10331,C1556,B060,Loan,40917.21,2016-12-12,Dormant
A10332,C2322,B193,Credit,60454.25,2019-04-18,Dormant
A10333,C2572,B037,Checking,21460.82,2017-03-31,Active
A10334,C1984,B081,Savings,23758.96,2018-04-21,Active
A10335,C0885,B103,Credit,72652.35,2018-05-31,Dormant
A10336,C3016,B153,Savings,17382.06,2018-03-07,Closed
A10337,C1107,B019,Checking,32652.46,2023-04-10,Closed
A10338,C3555,B026,Checking,87613.75,2021-10-03,Dormant
A10339,C1901,B153,Credit,21760.64,2025-05-03,Active
A10340,C1011,B098,Savings,21567.92,2020-02-25,Dormant
A10341,C1045,B064,Savings,21891.0,2017-04-19,Active
A10342,C0500,B115,Loan,98986.91,2022-05-16,Dormant
A10343,C3864,B087,Checking,39648.19,2019-02-14,Dormant
A10344,C3625,B152,Checking,14842.09,2021-02-15,Active
A10345,C3477,B067,Credit,23928.47,2024-03-27,Dormant
A10346,C2378,B161,Checking,86946.58,2019-04-13,Dormant
A10347,C3882,B073,Credit,25522.21,2023-08-07,Closed
A10348,C3102,B132,Checking,22124.95,2021-12-27,Active
A10349,C4706,B017,Savings,44844.65,2021-04-06,Active
A10350,C4898,B013,Credit,58414.79,2019-05-10,Closed
A10351,C2861,B099,Savings,80068.96,2016-10-26,Active
A10352,C4580,B061,Credit,32565.74,2015-08-20,Closed
A10353,C2371,B128,Savings,98645.75,2018-09-23,Dormant
A10354,C4958,B157,Loan,75227.02,2025-05-18,Active
A10355,C4232,B068,Loan,30243.54,2019-08-07,Active
A10356,C2098,B049,Checking,42929.82,2024-07-12,Closed
A10357,C1682,B196,Loan,66121.59,2021-01-13,Closed
A10358,C2532,B013,Checking,82189.66,2021-10-27,Dormant
A10359,C4889,B044,Savings,54949.44,2022-06-24,Closed
A10360,C0392,B158,Checking,6301.97,2021-06-12,Active
A10361,C1458,B112,Loan,11512.2,2019-01-26,Active
A10362,C1497,B096,Checking,16516.52,2016-09-24,Dormant
A10363,C3248,B191,Credit,1433.77,2021-07-14,Active
A10364,C0197,B072,Checking,99825.3,2019-03-17,Dormant
A10365,C3394,B121,Credit,60665.77,2020-12-06,Dormant
A10366,C3864,B143,Credit,13265.14,2018-01-19,Dormant
A10367,C4442,B076,Credit,18643.95,2016-12-08,Closed
A10368,C4581,B179,Credit,27682.7,2021-03-02,Closed
A10369,C4747,B060,Savings,66965.85,2019-09-23,Closed
A10370,C0932,B187,Credit,36649.52,2023-12-16,Dormant
A10371,C0214,B166,Checking,3802.19,2022-01-05,Active
A10372,C2607,B129,Loan,79127.33,2024-04-15,Closed
A10373,C4765,B134,Credit,95511.43,2016-01-21,Closed
A10374,C4477,B101,Checking,24829.01,2022-07-27,Closed
A10375,C2136,B013,Loan,91109.59,2023-04-09,Closed
A10376,C1773,B047,Loan,26056.12,2023-10-05,Closed
A10377,C0020,B126,Checking,11850.95,2017-12-23,Active
A10378,C0067,B185,Loan,99403.09,2020-11-18,Closed
A10379,C4232,B148,Checking,69857.18,2025-03-28,Dormant
A10380,C0855,B076,Checking,38635.93,2016-12-10,Closed
A10381,C3850,B062,Loan,17518.61,2021-07-28,Closed
A10382,C1746,B020,Credit,79050.83,2017-10-13,Active
A10383,C2906,B088,Savings,13915.36,2018-10-07,Dormant
A10384,C0604,B036,Savings,98311.41,2017-01-26,Dormant
A10385,C3496,B128,Loan,72603.89,2017-02-22,Dormant
A10386,C2540,B102,Loan,27921.11,2019-04-28,Active
A10387,C0969,B189,Savings,61980.56,2021-06-10,Dormant
