transactionID,accountID,amount,transactionDate,type,description
TX20001,A12272,19060.06,2023-09-21,Payment,Than city.
TX20002,A17355,6760.54,2022-06-20,Transfer,Program point item.
TX20003,A16309,-4749.11,2022-06-25,Transfer,Seek north or.
TX20004,A11000,13838.11,2020-12-07,Transfer,Subject manager line Mrs.
TX20005,A14722,15737.49,2025-02-01,Payment,Point where.
TX20006,A12089,19938.77,2022-03-30,Payment,Network from.
TX20007,A12125,7191.34,2023-07-14,Transfer,Ability perform agreement.
TX20008,A10396,-4880.97,2025-03-02,Deposit,The there onto because.
TX20009,A10839,13489.05,2021-12-06,Withdrawal,Yes four.
TX20010,A17515,99.98,2022-10-08,Withdrawal,Line choice change interest.
TX20011,A13246,12338.18,2024-05-10,Transfer,Almost pass increase.
TX20012,A12369,126.05,2025-02-13,Transfer,Old public.
TX20013,A14142,8244.05,2024-09-19,Deposit,Cold almost operation move.
TX20014,A11521,598.24,2021-05-18,Withdrawal,Plan feeling natural turn.
TX20015,A16849,10533.66,2020-08-29,Deposit,Suddenly likely perform fight read.
TX20016,A17190,2277.1,2024-11-03,Transfer,Magazine keep central structure charge.
TX20017,A13264,17741.44,2021-10-13,Payment,Star Mrs thus possible speak.
TX20018,A10487,15309.63,2021-03-10,Payment,Reduce very.
TX20019,A11570,-2200.14,2023-09-19,Deposit,Mean care cold.
TX20020,A16465,7501.83,2022-03-01,Payment,Security husband order term water.
TX20021,A17237,-1647.58,2023-09-22,Deposit,Team yes bring may.
TX20022,A17951,6987.09,2020-08-04,Deposit,Bar some recently.
TX20023,A12845,10397.27,2022-04-01,Withdrawal,Lead hospital day.
TX20024,A14185,6444.81,2024-04-12,Transfer,Eight keep operation successful.
TX20025,A12729,18172.44,2022-01-01,Payment,Control you purpose.
TX20026,A15433,10041.19,2023-07-19,Payment,Place author fall keep.
TX20027,A12772,4823.36,2022-03-30,Withdrawal,Serve win sing condition.
TX20028,A13906,2629.26,2022-11-28,Withdrawal,Ever change each do possible.
TX20029,A13333,16086.16,2021-09-20,Withdrawal,Same perhaps three night.
TX20030,A17732,12527.48,2022-12-08,Transfer,Again base understand.
TX20031,A16126,529.9,2025-01-01,Deposit,Main nothing mouth.
TX20032,A10147,10095.29,2025-03-16,Transfer,Help note physical Mr space.
TX20033,A11172,-2915.73,2021-02-05,Deposit,But certainly along green gun.
TX20034,A12616,4430.07,2023-08-20,Transfer,View station man summer upon.
TX20035,A13945,15064.27,2024-08-05,Transfer,Cover apply.
TX20036,A14679,9933.35,2022-07-15,Payment,Explain forward federal nothing.
TX20037,A11204,14101.2,2022-07-30,Payment,Write fill.
TX20038,A11667,6818.33,2023-12-04,Payment,Mother smile lot in.
TX20039,A17455,10176.6,2021-08-09,Deposit,Test seek.
TX20040,A13137,12717.51,2023-04-06,Withdrawal,Go home push team.
TX20041,A17272,18774.48,2024-12-29,Transfer,Affect identify knowledge.
TX20042,A11477,13794.98,2023-07-13,Transfer,Party bring east.
TX20043,A17335,3120.88,2022-04-26,Withdrawal,We start school property look.
TX20044,A17797,19009.52,2021-02-09,Deposit,Budget perform computer.
TX20045,A12556,817.88,2022-10-17,Withdrawal,Hope foot themselves.
TX20046,A16270,8286.66,2022-08-04,Payment,Believe analysis.
TX20047,A14193,-2190.42,2021-05-04,Transfer,Fall vote story arm.
TX20048,A13671,13025.78,2021-04-15,Transfer,Authority crime doctor.
TX20049,A11468,13183.47,2022-06-28,Withdrawal,Similar black scientist read air.
TX20050,A16903,1824.49,2022-11-22,Payment,Thing table.
TX20051,A16144,8833.93,2020-09-18,Transfer,Alone page.
TX20052,A16294,8552.39,2025-03-21,Transfer,Night let military phone.
TX20053,A16369,12092.34,2021-03-15,Deposit,Spring win ground.
TX20054,A11172,11292.96,2022-03-06,Withdrawal,Life instead message six.
TX20055,A14058,18370.37,2020-12-19,Deposit,Top situation stay age bit.
TX20056,A14652,12561.87,2022-11-28,Payment,Off surface.
