orderID,userID,productID,orderDate,quantity,status
O20001,U00133,P01440,2023-11-30,2,Placed
O20002,U00610,P01461,2025-06-05,4,Shipped
O20003,U01200,P00785,2025-05-18,5,Delivered
O20004,U02483,P01366,2024-01-30,1,Cancelled
O20005,U00259,P01167,2025-03-11,2,Placed
O20006,U02667,P00607,2023-08-27,4,Cancelled
O20007,U01833,P01236,2024-12-18,1,Placed
O20008,U02534,P01060,2024-02-08,5,Cancelled
O20009,U02818,P00825,2023-08-03,5,Placed
O20010,U00569,P00395,2024-11-14,2,Placed
O20011,U01853,P01446,2024-02-22,5,Cancelled
O20012,U01769,P00357,2023-08-09,1,Delivered
O20013,U02118,P00099,2023-10-03,4,Cancelled
O20014,U01595,P00476,2024-03-25,1,Cancelled
O20015,U02171,P00127,2024-01-21,5,Shipped
O20016,U01784,P00174,2024-07-20,3,Cancelled
O20017,U01354,P00046,2024-03-30,4,Shipped
O20018,U00493,P00851,2024-10-07,5,Delivered
O20019,U00922,P01094,2024-10-10,5,Shipped
O20020,U02357,P00023,2025-02-25,2,Cancelled
O20021,U01975,P00781,2024-08-29,1,Placed
O20022,U00145,P00986,2023-08-03,2,Shipped
O20023,U01214,P00843,2024-08-19,1,Cancelled
O20024,U02479,P00395,2023-07-21,1,Delivered
O20025,U02131,P01223,2025-02-23,2,Shipped
O20026,U00853,P00453,2024-10-23,1,Placed
O20027,U02937,P00139,2025-05-13,1,Placed
O20028,U00455,P00348,2023-09-28,4,Delivered
O20029,U02330,P00023,2024-05-28,2,Cancelled
O20030,U00598,P00878,2024-01-31,3,Shipped
O20031,U01751,P01153,2025-06-07,3,Placed
O20032,U01475,P00085,2025-02-05,2,Delivered
O20033,U01448,P01461,2024-04-21,3,Placed
O20034,U01616,P01325,2025-05-19,4,Placed
O20035,U01683,P01366,2023-12-06,1,Shipped
O20036,U00905,P00595,2024-07-12,2,Shipped
O20037,U01098,P01387,2025-04-10,2,Shipped
O20038,U01457,P00988,2024-03-28,1,Placed
O20039,U02620,P00808,2023-11-02,1,Placed
O20040,U02902,P00784,2024-04-28,3,Shipped
O20041,U01342,P01107,2024-03-12,2,Shipped
O20042,U00230,P00489,2024-04-18,1,Shipped
O20043,U00736,P01279,2023-08-03,2,Delivered
O20044,U00556,P00464,2024-08-08,5,Placed
O20045,U00516,P00069,2024-01-23,2,Cancelled
O20046,U02045,P01295,2023-07-20,5,Delivered
O20047,U01524,P01176,2023-06-19,3,Delivered
O20048,U00570,P00041,2023-08-15,5,Shipped
O20049,U00555,P01409,2025-05-19,2,Shipped
O20050,U00576,P00938,2024-12-31,1,Shipped
O20051,U01003,P01160,2024-09-12,4,Shipped
O20052,U01518,P01397,2023-10-02,3,Cancelled
O20053,U02907,P01396,2023-07-04,5,Shipped
O20054,U00113,P00339,2024-03-27,2,Delivered
O20055,U00405,P01284,2024-04-06,4,Shipped
O20056,U02226,P01463,2023-10-29,1,Shipped
O20057,U01231,P00783,2023-12-05,4,Cancelled
O20058,U00051,P00364,2023-11-27,2,Placed
O20059,U00508,P01486,2024-11-15,3,Placed
O20060,U02793,P00079,2024-04-28,4,Shipped
O20061,U01696,P00988,2025-05-16,5,Delivered
O20062,U01751,P00038,2024-03-12,3,Delivered
O20063,U02816,P00697,2024-01-01,4,Cancelled
O20064,U02959,P00411,2023-09-09,5,Shipped
O20065,U00004,P01037,2024-10-25,1,Placed
O20066,U01049,P00291,2024-04-12,3,Placed
O20067,U02370,P01284,2023-09-24,1,Shipped
O20068,U02481,P00474,2024-09-12,5,Placed
O20069,U01045,P00111,2023-08-19,2,Placed
O20070,U00561,P01331,2024-08-29,5,Delivered
O20071,U01083,P01454,2024-05-16,1,Shipped
O20072,U01977,P01095,2025-01-18,5,Shipped
O20073,U02760,P01148,2024-12-28,4,Cancelled
O20074,U01706,P00495,2023-12-22,3,Cancelled
O20075,U01389,P01252,2023-10-08,4,Cancelled
O20076,U00999,P00334,2023-11-04,5,Cancelled
O20077,U01661,P00286,2025-02-16,5,Shipped
O20078,U01316,P00358,2025-02-18,4,Cancelled
O20079,U02208,P00178,2025-05-13,1,Shipped
O20080,U01416,P00762,2024-05-29,4,Delivered
O20081,U01547,P00272,2025-02-19,4,Cancelled
O20082,U02864,P00021,2025-02-17,4,Shipped
O20083,U01663,P01257,2025-01-23,1,Cancelled
O20084,U02678,P00868,2024-12-28,5,Shipped
O20085,U01759,P01490,2024-11-23,5,Delivered
O20086,U01150,P00902,2023-11-30,2,Placed
O20087,U00567,P01276,2024-09-20,2,Placed
O20088,U00781,P00261,2023-09-11,5,Placed
O20089,U00335,P01455,2023-10-31,3,Placed
O20090,U01253,P00422,2024-04-17,3,Shipped
O20091,U00089,P01299,2025-01-22,5,Delivered
O20092,U00444,P00422,2023-09-23,3,Placed
O20093,U02411,P01080,2024-01-17,2,Placed
O20094,U02158,P00095,2023-11-25,3,Placed
O20095,U00482,P01497,2025-04-16,3,Shipped
O20096,U00204,P00284,2023-09-24,4,Shipped
O20097,U01328,P01367,2024-09-08,5,Placed
O20098,U01632,P00814,2024-02-24,2,Placed
O20099,U01295,P00156,2025-03-19,1,Placed
O20100,U01261,P00130,2024-10-02,1,Shipped
O20101,U00192,P00779,2024-01-09,3,Placed
O20102,U01122,P01023,2025-01-28,5,Shipped
O20103,U01993,P01469,2024-09-01,2,Cancelled
O20104,U02740,P01281,2023-10-30,5,Cancelled
O20105,U00998,P01111,2025-02-18,5,Placed
O20106,U02728,P00849,2023-07-17,2,Shipped
O20107,U00563,P01128,2024-01-19,5,Shipped
O20108,U02837,P00474,2025-04-01,3,Cancelled
O20109,U00289,P00260,2024-01-31,4,Placed
O20110,U00195,P00675,2023-12-15,5,Cancelled
O20111,U00699,P01347,2024-03-04,1,Shipped
O20112,U00973,P00767,2023-12-25,1,Delivered
O20113,U02523,P00719,2025-02-02,4,Delivered
O20114,U01338,P00619,2024-05-05,2,Shipped
O20115,U02097,P00983,2024-10-12,5,Placed
O20116,U00376,P01127,2024-03-04,5,Placed
O20117,U00403,P00070,2024-09-10,5,Delivered
O20118,U02382,P00222,2024-04-02,4,Cancelled
O20119,U02904,P00942,2024-07-03,5,Placed
O20120,U01243,P00815,2023-12-09,5,Shipped
O20121,U01520,P00777,2023-12-03,2,Cancelled
O20122,U01839,P00783,2025-05-08,3,Shipped
O20123,U01357,P00799,2023-06-29,2,Delivered
O20124,U01061,P00324,2024-12-07,5,Delivered
O20125,U01541,P01390,2025-02-18,2,Delivered
O20126,U02031,P01118,2024-04-23,2,Placed
O20127,U00133,P00511,2024-11-12,5,Shipped
O20128,U02596,P00347,2024-10-18,3,Cancelled
O20129,U02349,P00534,2025-04-19,4,Shipped
O20130,U02456,P01426,2024-11-07,2,Shipped
O20131,U02761,P01196,2024-08-10,5,Delivered
O20132,U00833,P00780,2025-02-03,3,Cancelled
O20133,U00045,P01048,2024-03-05,4,Cancelled
O20134,U00446,P01134,2023-06-28,5,Cancelled
O20135,U01054,P00086,2025-02-20,4,Delivered
O20136,U01404,P00200,2023-12-02,1,Delivered
O20137,U02667,P01291,2024-03-30,4,Shipped
O20138,U00549,P00386,2024-10-22,4,Placed
O20139,U00033,P00232,2024-07-19,2,Placed
O20140,U01851,P00539,2023-12-08,3,Delivered
O20141,U01274,P01489,2025-03-20,2,Shipped
O20142,U00826,P01362,2024-02-19,3,Cancelled
O20143,U01057,P01015,2024-09-22,2,Delivered
O20144,U02824,P00910,2023-12-04,1,Cancelled
O20145,U01225,P01191,2023-12-21,4,Placed
O20146,U01222,P00166,2023-10-22,5,Placed
O20147,U02009,P00283,2023-10-21,1,Cancelled
