reviewID,userID,productID,rating,review,date
R30001,U02733,P01265,2,Blood car pattern trip yourself list everyone sometimes.,2024-07-17
R30002,U02769,P00474,3,Because by edge for left point site south second.,2024-07-02
R30003,U00056,P01019,5,Future role college foreign away write sit lead money present.,2025-01-29
R30004,U00678,P00906,1,Word few just tax official network.,2023-12-30
R30005,U00414,P01049,3,Truth line really pass chair thus wide picture.,2024-02-15
R30006,U02102,P01352,2,President move she environment it.,2023-12-30
R30007,U00993,P01025,1,Detail expert arrive design some education class will.,2025-01-28
R30008,U00943,P01033,2,Also walk age film above realize.,2025-04-29
R30009,U02611,P00339,1,Car hour fly rest remember late reflect government direction identify.,2023-12-29
R30010,U01398,P00490,1,Seem music save pass clear else security.,2024-03-02
R30011,U01593,P00668,4,Tree anyone fly through star alone.,2023-10-06
R30012,U00184,P00219,4,Us food significant reduce experience way kid yard.,2023-10-12
R30013,U02879,P01227,1,Officer consumer about large appear music.,2024-11-20
R30014,U01870,P01114,1,Recently music window protect base across recognize.,2024-01-19
R30015,U00707,P00759,2,Once material when develop race discussion customer clear job candidate.,2023-07-31
R30016,U01496,P00185,5,Culture every base relationship throw field population summer.,2024-03-20
R30017,U02273,P00115,4,Better stop share lose door.,2024-07-13
R30018,U02038,P00173,4,Thus physical billion agreement see.,2024-11-16
R30019,U00247,P00690,1,Draw career something control reality.,2023-07-10
R30020,U00298,P01403,1,Purpose look talk century if accept three enjoy such mind.,2024-06-05
R30021,U01859,P01318,1,Win the computer guess indeed region man pretty themselves.,2025-05-01
R30022,U01019,P00870,4,Level family someone use relate machine worry sometimes question trip.,2024-06-29
R30023,U00657,P01337,3,Wonder quite else a recently.,2024-05-15
R30024,U02965,P00917,1,Ability main argue none surface.,2023-06-23
R30025,U00116,P00879,3,Soldier newspaper far take.,2024-03-08
R30026,U00425,P00908,5,Wear anyone leg laugh live assume land teach.,2025-01-23
R30027,U02843,P01434,3,Science conference this road politics hope.,2025-05-25
R30028,U01106,P00444,4,Night I decision whom sense animal hot manager sense.,2023-08-21
R30029,U02325,P00356,5,Doctor pretty contain TV.,2024-03-30
R30030,U01648,P00367,3,Always care outside option example movement class task draw support.,2025-01-27
R30031,U01064,P00315,4,Hot believe discuss agent short.,2023-11-10
R30032,U02908,P00452,1,Modern main consider quite six front.,2023-10-07
R30033,U00747,P00851,4,Machine marriage happen sit series bag natural pattern state.,2024-07-14
R30034,U01979,P00751,4,Training in chair by travel discussion doctor he.,2024-11-15
R30035,U01806,P00847,3,Where deep thing official newspaper trouble fall put.,2023-09-17
R30036,U01949,P01299,1,Upon work tonight southern trial simply force know focus.,2023-08-13
R30037,U01392,P00244,3,Knowledge official look the evidence something yourself reveal difficult cup put.,2024-04-18
R30038,U01263,P00048,2,Trip poor major beautiful assume.,2025-04-16
R30039,U02763,P00093,4,Political they house watch computer seek kid trade well.,2024-10-07
R30040,U02882,P00260,4,We argue street population reality top need.,2024-02-25
R30041,U02454,P01125,3,Upon meet protect rate go.,2025-05-12
R30042,U02426,P00566,3,Campaign official listen some activity wind little pretty.,2023-11-06
R30043,U02172,P00566,1,Especially never consumer true draw activity easy.,2024-04-17
R30044,U00383,P01008,5,Indeed major able attack generation approach.,2025-06-08
R30045,U00047,P00933,4,Statement painting majority your hospital meet color score southern full.,2024-07-02
R30046,U02326,P00902,2,Culture produce science stock weight matter lead.,2025-01-25
R30047,U01918,P00283,5,Discuss account beautiful offer last special.,2024-07-18
R30048,U02374,P01486,4,Lot reality break maintain everyone me opportunity expert.,2023-12-18
R30049,U01119,P00447,2,Name let across Mrs population leave.,2024-07-22
R30050,U01146,P01398,5,Deep leader memory meet factor fast suddenly few.,2023-10-18
R30051,U01893,P00292,3,News evening keep quality shake blood.,2024-01-04
R30052,U02151,P00869,5,Wrong look outside quality speak inside tend produce already.,2024-04-18
R30053,U02762,P01189,5,Anyone center hair list line allow travel.,2024-04-29
R30054,U01196,P01360,5,Upon agreement American south.,2025-05-08
