enrollmentID,studentID,courseID,enrollDate
E10001,S00939,C003,2022-11-05
E10002,S02069,C035,2021-04-24
E10003,S02453,C015,2023-06-04
E10004,S02747,C052,2024-09-11
E10005,S00836,C042,2020-11-11
E10006,S00019,C050,2022-12-07
E10007,S00687,C004,2023-05-06
E10008,S01944,C014,2024-11-19
E10009,S00951,C094,2020-12-17
E10010,S02391,C049,2024-11-17
E10011,S02790,C007,2022-02-06
E10012,S01044,C050,2023-05-09
E10013,S00210,C098,2023-07-10
E10014,S00670,C020,2022-11-06
E10015,S00333,C011,2025-02-01
E10016,S02977,C066,2023-02-14
E10017,S02683,C029,2024-12-26
E10018,S01705,C075,2023-05-22
E10019,S01147,C065,2023-11-10
E10020,S02230,C013,2022-01-04
E10021,S00803,C084,2022-04-19
E10022,S00531,C015,2023-12-02
E10023,S00784,C097,2024-11-12
E10024,S00290,C020,2022-08-02
E10025,S02597,C023,2020-10-12
E10026,S02252,C086,2021-08-01
E10027,S00062,C022,2020-12-21
E10028,S02726,C048,2024-02-20
E10029,S01505,C027,2022-10-15
E10030,S01712,C059,2024-12-15
E10031,S01664,C026,2021-02-01
E10032,S02723,C038,2021-08-29
E10033,S01693,C015,2022-03-07
E10034,S00397,C033,2023-02-12
E10035,S02997,C070,2020-11-07
E10036,S02177,C080,2022-01-23
E10037,S00891,C044,2022-08-19
E10038,S00060,C084,2024-05-28
E10039,S00611,C027,2021-01-06
E10040,S01053,C033,2023-02-26
E10041,S00448,C004,2021-01-14
E10042,S02183,C047,2022-04-11
E10043,S00883,C085,2020-11-19
E10044,S01417,C011,2020-09-06
E10045,S00962,C091,2024-10-29
E10046,S01533,C054,2024-11-10
E10047,S00044,C006,2024-08-13
E10048,S00223,C028,2025-03-20
E10049,S00496,C021,2021-10-11
E10050,S02768,C018,2024-11-19
E10051,S02134,C073,2024-07-22
E10052,S00099,C094,2023-08-02
E10053,S00636,C003,2021-01-13
E10054,S01357,C013,2022-05-17
E10055,S00646,C053,2024-12-22
E10056,S00338,C032,2021-07-26
E10057,S02491,C060,2023-09-22
E10058,S00099,C092,2023-02-13
E10059,S01314,C033,2021-03-25
E10060,S01455,C037,2023-05-31
E10061,S01931,C038,2024-11-01
E10062,S01433,C064,2021-07-09
E10063,S02744,C091,2020-09-22
E10064,S02829,C083,2022-06-04
E10065,S00129,C035,2024-01-06
E10066,S02599,C004,2023-06-02
E10067,S00622,C032,2023-07-31
E10068,S02777,C075,2024-11-03
E10069,S00400,C048,2022-11-19
E10070,S01359,C018,2024-05-29
