gradeID,enrollmentID,grade,gradeDate
G20001,E15887,D,2023-08-16
G20002,E11145,B,2020-07-22
G20003,E15778,B,2025-06-17
G20004,E12664,F,2024-03-02
G20005,E11263,B,2024-01-28
G20006,E10878,A,2025-03-23
G20007,E15709,D,2024-02-07
G20008,E13318,B,2021-01-04
G20009,E12867,D,2022-09-03
G20010,E14712,D,2020-07-07
G20011,E10065,C,2024-04-03
G20012,E15587,A,2022-10-29
G20013,E15321,A,2022-03-22
G20014,E15807,C,2023-08-29
G20015,E13198,C,2025-03-12
G20016,E12942,F,2022-07-28
G20017,E14262,A,2021-11-12
G20018,E14897,A,2025-05-31
G20019,E12151,B,2022-03-27
G20020,E14112,D,2024-12-22
G20021,E15872,B,2021-08-22
G20022,E15014,A,2025-02-21
G20023,E14043,C,2024-09-08
G20024,E10783,D,2023-05-11
G20025,E12862,D,2024-11-14
G20026,E11861,C,2021-12-22
G20027,E14541,A,2023-04-04
G20028,E15994,F,2023-11-18
G20029,E14552,D,2024-07-02
G20030,E12187,B,2025-04-10
G20031,E11742,F,2023-12-13
G20032,E12198,F,2020-08-16
G20033,E10717,C,2024-11-11
G20034,E14947,A,2022-01-29
G20035,E15164,C,2022-03-10
G20036,E11393,F,2025-03-22
G20037,E15123,A,2024-05-10
G20038,E15778,F,2021-04-05
G20039,E15633,C,2023-02-02
G20040,E11895,F,2023-01-06
G20041,E15307,C,2024-06-18
G20042,E11815,C,2025-05-15
G20043,E15051,C,2023-05-04
G20044,E14353,B,2022-02-28
G20045,E12658,C,2024-03-09
G20046,E13173,A,2021-11-22
G20047,E12122,A,2022-05-04
G20048,E13161,D,2021-12-20
G20049,E10144,C,2025-01-28
G20050,E12503,A,2023-09-08
G20051,E10159,D,2024-04-07
G20052,E11043,D,2024-07-26
G20053,E12479,B,2024-10-14
G20054,E11634,C,2024-10-25
G20055,E13490,C,2020-11-15
G20056,E10443,B,2022-12-19
G20057,E15232,A,2021-04-04
G20058,E15885,D,2020-11-05
G20059,E15586,F,2021-10-07
G20060,E12827,C,2020-09-29
G20061,E10363,B,2021-12-18
G20062,E11521,A,2022-01-25
G20063,E12385,B,2021-04-12
G20064,E14902,C,2024-12-14
G20065,E15815,D,2024-07-15
G20066,E12935,D,2022-09-07
G20067,E10290,F,2022-12-04
G20068,E12238,D,2020-08-16
G20069,E13958,D,2023-10-27
G20070,E14828,C,2022-02-12
G20071,E13542,C,2025-04-23
G20072,E11284,C,2022-03-02
G20073,E14921,F,2024-05-10
G20074,E13983,B,2021-04-29
G20075,E14266,D,2023-12-22
G20076,E14208,F,2023-08-31
G20077,E13787,D,2023-04-20
G20078,E12344,F,2024-05-01
G20079,E14769,F,2021-10-19
G20080,E14574,C,2022-09-08
G20081,E13340,F,2023-08-10
G20082,E15425,A,2021-08-22
G20083,E13996,B,2024-04-21
G20084,E14986,D,2020-12-07
G20085,E11338,C,2025-04-23
G20086,E12388,C,2023-10-20
G20087,E11945,B,2020-11-13
G20088,E12383,A,2023-12-21
G20089,E14456,B,2022-04-26
G20090,E13170,D,2024-07-01
G20091,E11202,F,2022-01-13
G20092,E11086,A,2022-09-02
G20093,E12815,C,2021-07-04
G20094,E12956,C,2024-03-08
G20095,E13236,C,2022-09-25
G20096,E12357,D,2022-03-19
G20097,E11099,D,2022-01-25
G20098,E11566,F,2023-08-04
G20099,E12586,A,2022-05-16
G20100,E12273,F,2025-04-05
G20101,E13360,A,2022-01-21
G20102,E12713,B,2021-08-07
G20103,E15867,A,2020-06-20
G20104,E13928,D,2020-07-08
G20105,E12708,F,2023-01-11
G20106,E11375,C,2022-05-16
G20107,E10192,B,2025-01-28
G20108,E14885,B,2021-06-05
G20109,E15378,D,2023-12-17
G20110,E12641,C,2022-02-18
G20111,E10415,F,2024-11-29
G20112,E10229,D,2022-07-13
G20113,E10144,A,2024-12-01
G20114,E11096,A,2022-04-13
G20115,E15986,B,2023-06-06
G20116,E14460,A,2022-12-23
G20117,E14544,A,2022-02-04
G20118,E11028,C,2024-02-14
G20119,E10886,C,2025-03-22
G20120,E15656,B,2022-06-28
G20121,E13973,D,2020-06-23
G20122,E15382,C,2025-01-27
G20123,E13063,B,2021-09-26
G20124,E11332,B,2021-07-07
G20125,E13189,C,2020-07-10
G20126,E15503,A,2025-06-06
G20127,E14123,C,2023-06-16
G20128,E13739,F,2025-04-01
G20129,E10952,D,2023-07-21
G20130,E11948,F,2024-05-04
G20131,E12527,A,2024-08-25
G20132,E14990,D,2020-11-29
G20133,E13921,A,2025-03-11
G20134,E10828,D,2022-11-08
G20135,E11735,F,2023-10-04
G20136,E11484,A,2024-06-04
G20137,E13017,D,2023-12-24
G20138,E12873,D,2024-04-01
G20139,E12234,C,2025-04-26
G20140,E10844,F,2023-01-10
G20141,E14313,A,2023-06-18
G20142,E15353,F,2025-05-27
G20143,E12727,C,2025-01-26
G20144,E15535,F,2023-04-22
G20145,E14313,C,2022-02-13
G20146,E10512,C,2023-02-02
G20147,E14713,F,2020-11-04
G20148,E13641,F,2021-11-09
G20149,E10953,D,2025-05-13
G20150,E15140,A,2023-02-20
G20151,E10987,A,2021-06-12
G20152,E14295,B,2023-05-01
G20153,E13834,D,2025-02-25
G20154,E11400,B,2024-11-22
G20155,E14756,D,2022-05-14
G20156,E10410,A,2022-02-14
G20157,E12659,D,2022-10-01
G20158,E14309,B,2023-05-28
G20159,E14227,C,2024-10-27
G20160,E14802,B,2020-09-01
G20161,E13263,F,2022-11-17
G20162,E15504,B,2024-03-25
G20163,E10365,D,2024-01-21
G20164,E12355,B,2022-11-13
G20165,E14282,F,2021-08-19
G20166,E10016,B,2022-07-13
G20167,E15677,C,2022-03-06
G20168,E12083,A,2021-02-12
G20169,E14726,B,2024-10-08
