billID,customerID,amount,billDate,status
B30001,C1948,1899,2025-04-03,Pending
B30002,C0111,3811,2024-01-31,Unpaid
B30003,C1568,3854,2024-01-03,Unpaid
B30004,C1065,4085,2024-10-27,Unpaid
B30005,C2373,2846,2024-05-30,Paid
B30006,C0245,3464,2024-07-22,Unpaid
B30007,C1982,2213,2023-10-08,Unpaid
B30008,C0850,1429,2025-03-29,Pending
B30009,C1450,1481,2023-11-18,Pending
B30010,C1105,3417,2023-06-27,Unpaid
B30011,C0977,621,2024-09-19,Pending
B30012,C1354,3681,2025-04-21,Paid
B30013,C2250,1950,2023-07-27,Paid
B30014,C1873,3805,2025-04-27,Pending
B30015,C1070,1992,2023-09-22,Unpaid
B30016,C0788,3220,2024-03-29,Unpaid
B30017,C0702,3467,2023-12-20,Pending
B30018,C2222,4588,2023-08-02,Paid
B30019,C0620,2175,2025-03-15,Unpaid
B30020,C0813,714,2024-09-14,Pending
B30021,C1271,4843,2023-08-15,Paid
B30022,C2289,2699,2024-11-16,Paid
B30023,C1466,4275,2024-08-06,Pending
B30024,C1586,3334,2023-08-04,Pending
B30025,C0935,4889,2025-02-10,Pending
B30026,C1534,2526,2023-07-22,Unpaid
B30027,C1025,3350,2024-06-03,Unpaid
B30028,C1336,1380,2023-11-26,Unpaid
B30029,C1027,3605,2024-02-23,Paid
B30030,C0130,3141,2024-12-20,Paid
B30031,C0757,1287,2024-11-03,Pending
B30032,C0607,2952,2023-12-26,Unpaid
B30033,C0110,3885,2025-01-22,Unpaid
B30034,C2020,4621,2024-05-04,Paid
B30035,C0490,2482,2024-03-15,Unpaid
B30036,C1023,2208,2024-10-10,Unpaid
B30037,C0853,121,2025-05-05,Unpaid
B30038,C0926,1333,2025-06-11,Paid
B30039,C0631,754,2023-12-02,Paid
B30040,C1525,3002,2023-07-14,Unpaid
B30041,C0218,405,2024-02-14,Paid
B30042,C2346,2123,2024-02-20,Unpaid
B30043,C0415,2663,2023-07-28,Paid
B30044,C2474,4311,2024-09-10,Paid
B30045,C2183,477,2024-10-21,Pending
B30046,C1520,1247,2023-08-10,Paid
B30047,C0808,865,2023-11-24,Unpaid
