usageID,meterID,date,kWh
U10001,M01970,2023-09-06,80.49
U10002,M02062,2025-02-20,39.51
U10003,M01119,2024-10-30,59.25
U10004,M02241,2025-01-25,16.64
U10005,M00609,2024-09-06,54.06
U10006,M02138,2024-03-25,13.34
U10007,M00367,2023-07-01,92.86
U10008,M01940,2023-06-23,19.36
U10009,M00971,2023-09-03,18.32
U10010,M00912,2023-09-10,88.72
U10011,M00431,2024-04-07,23.52
U10012,M00620,2023-07-13,74.56
U10013,M01743,2025-03-15,43.8
U10014,M02188,2023-08-04,29.39
U10015,M02302,2024-04-11,86.89
U10016,M01555,2025-05-23,35.48
U10017,M01595,2025-05-13,64.36
U10018,M00941,2023-07-21,82.44
U10019,M00861,2024-07-11,53.87
U10020,M00690,2023-11-11,2.77
U10021,M01235,2024-02-10,4.72
U10022,M01135,2024-06-02,84.59
U10023,M01569,2025-02-09,10.14
U10024,M02431,2023-08-27,18.5
U10025,M01086,2023-12-25,94.76
U10026,M02139,2023-06-21,42.15
U10027,M02022,2025-02-10,16.62
U10028,M01193,2024-02-26,41.15
U10029,M00262,2024-01-09,31.59
U10030,M00453,2025-03-29,45.58
U10031,M02056,2023-06-27,57.92
U10032,M00591,2024-07-03,34.45
U10033,M00168,2024-03-19,80.37
U10034,M00246,2025-01-29,93.03
U10035,M00202,2024-03-22,33.3
U10036,M00259,2024-06-22,84.99
U10037,M00139,2024-12-08,55.63
U10038,M01462,2023-09-09,76.16
U10039,M02347,2024-02-26,7.35
U10040,M01336,2023-09-17,43.11
U10041,M00766,2025-06-05,1.2
U10042,M00362,2024-09-05,66.3
U10043,M01412,2023-10-24,41.98
U10044,M00715,2023-09-30,1.19
U10045,M00527,2024-01-22,87.44
U10046,M00850,2024-09-16,89.07
U10047,M02397,2024-05-19,29.58
U10048,M00903,2024-08-26,93.81
U10049,M01859,2025-06-14,56.77
U10050,M01263,2025-02-15,60.05
U10051,M01058,2023-08-24,89.11
U10052,M02154,2023-12-11,53.01
U10053,M01866,2024-05-17,91.64
U10054,M00190,2024-05-04,60.3
U10055,M01389,2023-12-15,63.63
U10056,M01784,2024-03-17,44.63
U10057,M00840,2023-07-05,82.32
U10058,M00680,2023-11-06,82.93
U10059,M00284,2024-03-17,64.77
U10060,M01523,2025-06-18,81.61
U10061,M01739,2024-11-04,73.76
U10062,M00813,2024-03-28,14.02
U10063,M00217,2023-06-30,20.3
U10064,M01735,2024-01-05,7.3
U10065,M01033,2024-07-13,82.15
U10066,M02395,2023-10-23,92.49
U10067,M02460,2023-12-21,26.9
U10068,M01679,2023-12-21,88.85
U10069,M00969,2023-10-29,20.46
U10070,M00559,2024-12-05,62.59
U10071,M00234,2024-01-05,31.57
U10072,M00434,2024-10-11,60.66
U10073,M02136,2023-12-25,40.92
U10074,M00927,2024-10-24,86.93
U10075,M01103,2024-02-10,40.48
U10076,M00384,2024-05-27,12.72
U10077,M02079,2025-02-08,5.29
U10078,M00832,2023-10-02,98.01
U10079,M01165,2024-09-05,13.08
U10080,M01180,2024-09-13,22.0
U10081,M01826,2025-02-03,31.18
U10082,M01857,2023-10-26,46.83
U10083,M00573,2023-11-03,47.27
U10084,M01499,2024-05-18,77.13
U10085,M01444,2023-11-16,44.12
U10086,M00422,2024-05-01,79.82
U10087,M01794,2024-03-11,67.59
U10088,M01868,2024-06-06,26.73
U10089,M00539,2023-11-08,98.06
U10090,M01719,2024-08-04,69.52
U10091,M00032,2024-05-26,22.4
U10092,M01265,2023-10-08,24.18
U10093,M01723,2025-01-18,62.82
U10094,M00850,2023-10-06,76.08
U10095,M01589,2024-08-31,44.95
U10096,M01658,2024-11-19,58.02
U10097,M00255,2023-07-25,81.95
U10098,M01182,2024-07-15,55.07
U10099,M01692,2024-10-30,68.3
U10100,M02226,2024-03-11,58.51
U10101,M01370,2024-12-18,20.49
U10102,M00163,2024-03-12,60.33
U10103,M00556,2024-09-14,1.99
U10104,M02454,2024-11-06,80.76
U10105,M00882,2024-11-18,79.2
U10106,M00337,2024-10-22,41.38
U10107,M01704,2023-08-29,76.07
U10108,M02399,2024-08-08,68.87
U10109,M01555,2024-01-26,91.6
U10110,M01134,2024-11-17,55.91
U10111,M01633,2024-12-30,78.46
U10112,M00741,2024-06-14,54.76
U10113,M00496,2024-07-20,75.75
U10114,M01892,2024-01-11,60.91
U10115,M00048,2023-08-12,63.16
U10116,M01915,2024-11-03,92.3
U10117,M00074,2025-05-09,74.45
U10118,M00210,2023-11-18,37.79
U10119,M00830,2025-03-18,15.22
U10120,M00827,2025-03-19,97.17
U10121,M00722,2024-04-09,34.01
