bookingID,guestID,roomID,checkIn,checkOut,status
B10001,G01352,R0176,2025-05-11,2025-05-11,Checked In
B10002,G00521,R0838,2024-08-19,2024-08-19,Confirmed
B10003,G01388,R0363,2023-07-28,2023-07-28,Checked In
B10004,G00348,R0982,2023-10-21,2023-10-21,Confirmed
B10005,G01918,R0066,2024-08-14,2024-08-14,Checked In
B10006,G00911,R0358,2024-08-24,2024-08-24,Cancelled
B10007,G01970,R0463,2024-12-14,2024-12-14,Checked In
B10008,G01964,R0746,2024-02-03,2024-02-03,Cancelled
B10009,G00841,R0928,2024-04-08,2024-04-08,Cancelled
B10010,G00976,R0116,2024-01-20,2024-01-20,Checked In
B10011,G01841,R0064,2024-07-25,,Checked In
B10012,G01146,R0178,2024-01-06,2024-01-06,Confirmed
B10013,G00073,R0089,2024-04-09,2024-04-09,Confirmed
B10014,G00205,R0644,2023-11-22,,Cancelled
B10015,G00574,R0142,2025-05-09,,Checked In
B10016,G01306,R0872,2024-08-24,2024-08-24,Cancelled
B10017,G00909,R0482,2024-07-01,2024-07-01,Checked Out
B10018,G00565,R0611,2025-03-13,,Checked Out
B10019,G00314,R0660,2024-05-28,2024-05-28,Checked Out
B10020,G01351,R0694,2023-07-04,2023-07-04,Checked Out
B10021,G01533,R0793,2024-11-30,,Checked In
B10022,G01795,R0785,2025-06-08,2025-06-08,Checked In
B10023,G01272,R0588,2023-08-15,2023-08-15,Cancelled
B10024,G01086,R0231,2024-01-20,2024-01-20,Checked Out
B10025,G01196,R0830,2023-11-19,2023-11-19,Checked In
B10026,G00608,R0084,2025-02-04,2025-02-04,Checked In
B10027,G00770,R0010,2025-06-01,2025-06-01,Checked In
B10028,G00008,R0893,2023-09-27,2023-09-27,Checked In
B10029,G01317,R0463,2024-04-23,2024-04-23,Checked Out
B10030,G01222,R0112,2025-03-06,,Checked Out
B10031,G01453,R0201,2023-10-12,2023-10-12,Confirmed
B10032,G00441,R0352,2024-07-19,2024-07-19,Confirmed
B10033,G01334,R0183,2024-05-20,2024-05-20,Confirmed
B10034,G00928,R0617,2024-07-28,2024-07-28,Cancelled
B10035,G01879,R0193,2023-08-21,2023-08-21,Checked Out
B10036,G01465,R0315,2024-11-15,2024-11-15,Cancelled
B10037,G01785,R0429,2024-04-06,2024-04-06,Checked Out
B10038,G00973,R0740,2024-08-07,,Confirmed
B10039,G00145,R0492,2023-11-12,2023-11-12,Checked Out
B10040,G00782,R0325,2025-02-22,2025-02-22,Cancelled
B10041,G00521,R0020,2023-11-11,2023-11-11,Cancelled
B10042,G00171,R0627,2023-11-17,,Checked In
B10043,G00007,R0079,2024-06-06,2024-06-06,Checked Out
B10044,G01653,R0420,2024-04-05,2024-04-05,Checked In
B10045,G01088,R0577,2024-10-28,2024-10-28,Checked Out
B10046,G00640,R0082,2024-11-03,,Confirmed
B10047,G00023,R0207,2024-07-30,,Confirmed
B10048,G00851,R0792,2024-11-09,2024-11-09,Checked Out
B10049,G01410,R0879,2024-11-03,2024-11-03,Checked In
B10050,G00773,R0175,2024-02-04,2024-02-04,Confirmed
B10051,G01153,R0067,2024-12-04,,Checked Out
B10052,G01560,R0182,2025-01-31,2025-01-31,Cancelled
B10053,G00726,R0056,2023-08-01,,Confirmed
B10054,G00286,R0746,2025-01-17,2025-01-17,Checked In
B10055,G00834,R0135,2023-08-16,2023-08-16,Checked Out
B10056,G00461,R0153,2024-05-01,2024-05-01,Cancelled
B10057,G00462,R0672,2025-02-19,2025-02-19,Checked Out
B10058,G00387,R0505,2024-11-26,2024-11-26,Checked Out
B10059,G01104,R0115,2024-08-05,2024-08-05,Checked Out
B10060,G00143,R0456,2024-03-03,2024-03-03,Confirmed
B10061,G00319,R0352,2025-02-06,2025-02-06,Checked In
B10062,G00375,R0855,2025-03-12,2025-03-12,Confirmed
B10063,G00030,R0297,2024-11-23,,Checked Out
B10064,G00310,R0092,2024-04-28,2024-04-28,Cancelled
B10065,G00551,R0158,2024-03-31,2024-03-31,Checked In
B10066,G01118,R0547,2023-11-08,,Checked Out
B10067,G01008,R0393,2025-04-25,2025-04-25,Checked Out
B10068,G01010,R0281,2025-02-23,2025-02-23,Checked In
B10069,G00260,R0792,2023-11-11,2023-11-11,Checked In
B10070,G01703,R0669,2024-12-18,,Checked In
B10071,G01455,R0718,2024-01-02,2024-01-02,Checked In
B10072,G01399,R0204,2023-08-12,2023-08-12,Confirmed
B10073,G01437,R0570,2024-04-07,,Checked In
B10074,G01874,R0434,2025-03-12,,Confirmed
B10075,G00121,R0357,2025-01-12,2025-01-12,Cancelled
B10076,G01781,R0600,2023-08-20,,Checked Out
B10077,G00301,R0614,2023-06-23,2023-06-23,Checked Out
B10078,G00376,R0025,2024-05-18,2024-05-18,Cancelled
B10079,G00007,R0908,2024-07-14,2024-07-14,Checked Out
B10080,G00466,R0218,2024-10-31,,Checked In
B10081,G01044,R0374,2023-09-02,2023-09-02,Checked In
B10082,G00933,R0664,2025-01-28,2025-01-28,Confirmed
B10083,G01786,R0662,2024-04-10,2024-04-10,Checked In
B10084,G00254,R0486,2025-05-13,,Cancelled
B10085,G00177,R0870,2024-03-20,,Checked In
B10086,G01899,R0014,2025-06-11,2025-06-11,Confirmed
B10087,G01100,R0464,2024-03-14,2024-03-14,Checked Out
B10088,G01909,R0569,2024-10-31,2024-10-31,Cancelled
B10089,G01374,R0893,2023-08-24,2023-08-24,Checked In
B10090,G00551,R0586,2025-06-02,,Confirmed
B10091,G00614,R0511,2023-11-01,2023-11-01,Checked Out
B10092,G01489,R0332,2024-02-12,,Checked Out
B10093,G01539,R0594,2023-10-25,2023-10-25,Checked In
B10094,G01652,R0171,2025-05-11,2025-05-11,Confirmed
B10095,G00233,R0872,2024-08-07,,Cancelled
B10096,G01191,R0484,2023-08-20,2023-08-20,Checked Out
B10097,G01399,R0051,2024-02-09,2024-02-09,Checked Out
B10098,G00990,R0793,2023-08-03,2023-08-03,Checked Out
B10099,G01545,R0178,2023-08-28,2023-08-28,Confirmed
B10100,G00432,R0507,2024-03-15,2024-03-15,Checked Out
