serviceID,bookingID,serviceType,amount,date
S20001,B10093,Laundry,217,2025-05-02
S20002,B10104,Transport,329,2024-04-19
S20003,B12894,Transport,181,2023-10-19
S20004,B10251,Spa,349,2025-05-31
S20005,B10589,Room Service,477,2024-12-05
S20006,B11951,Room Service,496,2024-04-10
S20007,B10832,Room Service,455,2024-02-14
S20008,B12234,Spa,368,2024-03-12
S20009,B13375,Restaurant,29,2024-09-28
S20010,B10847,Restaurant,96,2024-10-03
S20011,B10504,Spa,114,2025-04-21
S20012,B10958,Restaurant,224,2024-03-27
S20013,B13164,Room Service,256,2024-10-25
S20014,B12115,Laundry,245,2024-12-27
S20015,B13278,Laundry,356,2025-02-05
S20016,B11223,Room Service,206,2023-11-29
S20017,B10004,Restaurant,94,2024-06-20
S20018,B10983,Spa,429,2024-01-09
S20019,B12173,Spa,167,2023-12-24
S20020,B12687,Room Service,238,2024-09-11
S20021,B12781,Room Service,369,2025-02-23
S20022,B11331,Spa,137,2023-10-05
S20023,B10947,Restaurant,296,2025-02-26
S20024,B11939,Restaurant,68,2024-07-14
S20025,B11736,Spa,349,2025-03-21
S20026,B10730,Spa,240,2025-01-13
S20027,B10094,Transport,273,2024-04-26
S20028,B13204,Transport,217,2024-07-23
S20029,B11141,Restaurant,100,2024-04-03
S20030,B10127,Restaurant,117,2024-09-14
S20031,B10823,Restaurant,110,2023-07-16
S20032,B13627,Restaurant,395,2023-08-19
S20033,B12669,Restaurant,82,2023-12-06
S20034,B10484,Room Service,252,2024-02-12
S20035,B13687,Spa,86,2024-07-03
S20036,B12206,Spa,19,2024-02-25
S20037,B10431,Room Service,444,2024-12-24
S20038,B11204,Transport,33,2023-07-14
S20039,B13376,Room Service,213,2025-05-04
S20040,B11743,Laundry,220,2023-12-29
S20041,B10873,Room Service,183,2024-11-05
S20042,B13374,Spa,66,2023-08-24
S20043,B13878,Laundry,334,2023-10-07
S20044,B13984,Spa,89,2025-06-09
S20045,B12346,Laundry,474,2024-05-25
S20046,B11188,Spa,213,2023-11-04
S20047,B12734,Transport,79,2024-10-01
S20048,B13145,Laundry,89,2024-08-04
S20049,B12362,Transport,262,2023-08-28
S20050,B10499,Spa,416,2023-07-02
S20051,B10411,Spa,214,2023-07-12
S20052,B13545,Room Service,473,2023-10-24
S20053,B10342,Room Service,54,2023-06-24
S20054,B13940,Restaurant,377,2024-06-01
S20055,B13525,Transport,114,2024-10-20
S20056,B12291,Room Service,397,2023-08-19
S20057,B11313,Laundry,424,2023-07-14
S20058,B11655,Spa,320,2024-06-19
S20059,B10699,Laundry,25,2025-04-12
S20060,B12233,Restaurant,195,2024-04-01
S20061,B11623,Room Service,498,2024-01-26
S20062,B13663,Restaurant,27,2024-02-12
S20063,B12882,Room Service,74,2024-08-30
S20064,B12202,Restaurant,11,2023-09-29
S20065,B12960,Room Service,175,2024-07-20
S20066,B12467,Spa,299,2024-04-18
S20067,B11951,Spa,249,2023-10-13
S20068,B12689,Laundry,67,2024-11-25
S20069,B13990,Restaurant,430,2025-05-31
S20070,B12982,Room Service,411,2023-09-05
S20071,B13609,Spa,358,2025-01-06
S20072,B11736,Room Service,267,2024-02-05
S20073,B13458,Transport,79,2024-02-01
S20074,B10100,Laundry,50,2024-05-23
S20075,B13275,Room Service,80,2024-04-28
S20076,B11151,Spa,406,2025-05-09
S20077,B10964,Laundry,15,2024-12-21
S20078,B12280,Restaurant,190,2024-04-16
S20079,B12334,Laundry,167,2024-04-11
S20080,B11617,Room Service,34,2025-06-17
S20081,B11064,Room Service,353,2025-02-09
S20082,B13441,Room Service,397,2025-03-30
S20083,B11496,Room Service,161,2024-08-22
S20084,B12956,Laundry,141,2025-03-04
S20085,B10258,Transport,389,2024-08-09
S20086,B12660,Transport,264,2025-04-16
S20087,B13543,Restaurant,277,2024-06-08
S20088,B12153,Spa,285,2025-05-22
S20089,B10771,Transport,27,2025-02-04
S20090,B12841,Restaurant,206,2024-10-14
S20091,B12533,Laundry,218,2023-12-15
S20092,B12349,Room Service,125,2025-02-07
S20093,B10861,Spa,267,2023-11-02
