policyID,customerID,policyType,premium,issueDate,status,coverageAmount,agentID
P10001,C1490,Travel,4244,2023-06-13,Active,388923,A096
P10002,C4010,Auto,4514,2024-12-14,Active,290850,A482
P10003,C3479,Life,1055,2024-01-26,Expired,15504,A427
P10004,C4060,Health,1868,2021-11-07,Lapsed,237540,A088
P10005,C1205,Auto,2430,2025-01-05,Expired,157961,A020
P10006,C4704,Travel,1966,2024-10-04,Lapsed,338569,A319
P10007,C3038,Auto,4311,2023-02-13,Active,444216,A076
P10008,C0977,Life,4544,2024-09-24,Lapsed,443117,A137
P10009,C1995,Life,3770,2023-08-01,Active,499877,A067
P10010,C1451,Auto,630,2021-10-16,Expired,460106,A427
P10011,C3150,Home,3222,2023-06-10,Lapsed,274905,A064
P10012,C4952,Health,4869,2024-09-18,Lapsed,368323,A241
P10013,C4310,Travel,4114,2023-07-12,Lapsed,126263,A077
P10014,C2694,Life,4366,2021-09-16,Lapsed,108835,A232
P10015,C2366,Travel,1725,2021-01-12,Expired,211866,A211
P10016,C1611,Life,2524,2022-10-27,Active,240571,A392
P10017,C1368,Health,2095,2025-04-03,Active,186032,A307
P10018,C1251,Auto,2973,2020-08-12,Lapsed,169237,A495
P10019,C2445,Travel,865,2021-04-03,Active,438571,A258
P10020,C3044,Auto,1326,2024-09-21,Active,125879,A354
P10021,C2344,Travel,4005,2020-08-25,Expired,207404,A256
P10022,C2969,Life,3406,2021-06-28,Lapsed,276225,A428
P10023,C1892,Travel,3085,2022-05-19,Expired,276539,A198
P10024,C1239,Travel,914,2024-04-15,Active,465447,A280
P10025,C2177,Life,4949,2023-02-17,Lapsed,196598,A285
P10026,C2185,Auto,3400,2023-07-30,Lapsed,464824,A329
P10027,C1529,Auto,3665,2025-01-12,Expired,368947,A372
P10028,C4091,Life,4496,2025-04-08,Active,153898,A178
P10029,C3199,Health,1905,2021-09-20,Active,473758,A241
P10030,C2334,Auto,2906,2022-11-28,Active,162211,A222
P10031,C0907,Home,2555,2020-10-19,Lapsed,494185,A455
P10032,C1770,Travel,1570,2025-04-22,Lapsed,12281,A460
P10033,C3836,Home,785,2023-04-03,Active,79251,A324
P10034,C3554,Life,1139,2024-08-28,Lapsed,484533,A048
P10035,C0851,Life,4921,2024-11-19,Active,127772,A404
P10036,C3181,Auto,3003,2021-02-22,Expired,373606,A190
P10037,C4693,Life,2280,2023-06-05,Active,471689,A442
P10038,C4335,Home,3545,2020-09-16,Lapsed,176097,A012
P10039,C4521,Auto,3890,2020-07-09,Active,360976,A464
P10040,C2951,Life,4668,2021-05-13,Active,54710,A363
P10041,C3483,Home,3729,2025-06-17,Expired,134001,A358
P10042,C1139,Travel,3096,2023-03-10,Lapsed,122041,A035
P10043,C0124,Health,4914,2023-01-17,Active,144328,A009
P10044,C2126,Travel,865,2021-09-13,Expired,329848,A108
P10045,C3497,Travel,3003,2025-04-04,Active,499304,A072
P10046,C3064,Auto,643,2025-04-07,Lapsed,499611,A200
P10047,C2660,Travel,1476,2025-03-04,Active,420379,A411
P10048,C1993,Home,1980,2023-09-16,Expired,424327,A378
P10049,C1783,Life,2398,2020-12-05,Expired,86555,A387
P10050,C3579,Travel,646,2023-08-09,Expired,339587,A172
P10051,C4182,Auto,2656,2021-04-26,Active,154227,A421
P10052,C2129,Life,968,2025-05-14,Lapsed,320913,A197
P10053,C2703,Travel,4745,2022-03-24,Lapsed,14985,A080
P10054,C1750,Travel,1264,2021-05-22,Lapsed,39892,A075
P10055,C4483,Life,3939,2023-03-21,Active,359956,A044
P10056,C2357,Auto,1605,2023-10-09,Expired,310522,A295
P10057,C3594,Auto,4980,2024-06-01,Expired,351074,A231
P10058,C0405,Travel,4002,2021-05-20,Expired,164464,A354
P10059,C1786,Home,3870,2022-05-26,Expired,55900,A421
P10060,C3635,Life,3632,2021-04-04,Lapsed,499311,A496
P10061,C0830,Home,3473,2024-10-20,Expired,358946,A164
P10062,C4681,Home,425,2021-11-23,Lapsed,137744,A421
P10063,C0959,Home,1108,2022-01-11,Lapsed,115906,A227
P10064,C3505,Home,1694,2024-08-05,Lapsed,224767,A203
P10065,C4966,Travel,950,2024-10-14,Lapsed,99564,A181
P10066,C1145,Auto,815,2022-02-03,Expired,179788,A184
P10067,C2472,Health,4208,2021-05-09,Lapsed,23041,A438
P10068,C2243,Home,1411,2021-12-28,Lapsed,172174,A444
P10069,C4129,Life,2267,2021-05-24,Expired,319317,A013
P10070,C3839,Home,1730,2021-08-07,Expired,281636,A115
P10071,C3426,Travel,1627,2022-02-23,Lapsed,74102,A411
P10072,C0110,Health,901,2023-04-29,Active,113611,A024
P10073,C0122,Auto,2888,2023-05-25,Active,87323,A156
P10074,C3859,Home,4386,2021-02-24,Active,293210,A191
P10075,C2198,Life,3202,2023-07-27,Lapsed,239140,A412
P10076,C1503,Home,2551,2021-07-28,Expired,161780,A390
P10077,C4123,Travel,4202,2022-03-23,Lapsed,344471,A363
P10078,C4770,Life,4402,2025-01-14,Expired,106571,A075
P10079,C1227,Home,1814,2022-05-28,Lapsed,258961,A050
P10080,C3588,Auto,4930,2021-09-13,Lapsed,452005,A382
P10081,C3467,Home,574,2023-07-11,Expired,479293,A246
P10082,C1548,Home,3218,2023-06-22,Active,311178,A224
P10083,C3428,Travel,1953,2024-08-03,Active,458963,A066
P10084,C2277,Health,1934,2022-09-16,Lapsed,94427,A439
P10085,C2474,Life,4845,2024-03-08,Lapsed,177713,A483
P10086,C2272,Home,563,2022-09-12,Lapsed,482950,A012
P10087,C3020,Life,3072,2023-08-23,Active,39458,A232
P10088,C4112,Life,948,2024-09-01,Expired,58446,A080
P10089,C3497,Travel,2724,2021-10-21,Lapsed,240764,A085
P10090,C4999,Life,2729,2022-02-16,Expired,85705,A067
P10091,C3424,Auto,1033,2024-07-22,Expired,32007,A141
P10092,C3351,Home,2837,2024-07-31,Expired,222437,A389
P10093,C2591,Home,950,2023-09-14,Lapsed,314855,A133
P10094,C0069,Health,637,2020-07-28,Expired,279922,A195
P10095,C4568,Home,1063,2025-01-24,Expired,248774,A133
P10096,C3399,Travel,467,2021-09-05,Active,376813,A018
P10097,C4912,Health,4581,2024-04-01,Active,290177,A493
P10098,C4618,Health,472,2022-04-06,Expired,305707,A033
P10099,C4928,Travel,2966,2023-06-20,Lapsed,443027,A357
