propertyID,address,city,type,price,status
P00001,"79395 Stewart Centers Apt. 705, Woodardberg, NM 32058",Schmidtland,Condo,1908451,Available
P00002,"121 Walker Bridge Suite 174, Chandlerborough, CA 08020",North Kevinfurt,House,146308,Available
P00003,"269 Hancock Creek, Thompsonland, MN 65052",Paulbury,Apartment,1983931,Available
P00004,"3289 Elizabeth Oval Apt. 354, Ryanfort, ME 60966",South Vanessachester,Apartment,1081986,Available
P00005,"316 Smith Villages Apt. 081, Valenzuelaville, HI 99265",Garciaborough,Apartment,1969869,Available
P00006,"3055 Charles Landing Apt. 454, West Teresaville, UT 80244",Romanton,Condo,338046,Rented
P00007,"791 Fisher Trafficway, Joshuachester, MD 33396",East Christinehaven,House,1584790,Available
P00008,"76753 Smith Orchard Suite 252, North Kaitlyn, WY 94484",Christinamouth,Land,1286501,Sold
P00009,"171 Navarro Spring Apt. 358, New Scott, VT 97718",South Gerald,House,1852080,Sold
P00010,"150 Moreno Views, West Timothyshire, ND 27170",New Stephaniebury,House,981093,Sold
P00011,"9814 Brandy Square, North Sarah, GU 97869",West Jamesberg,Apartment,852091,Rented
P00012,"2260 Jacobson Points Apt. 230, West Kayla, MA 90652",Reginabury,Apartment,260848,Sold
P00013,"8467 Davis Plaza, Brandonland, PW 43849",Port Carol,Apartment,1829457,Rented
P00014,"3241 Hill Crest Suite 509, Lake Tinashire, WY 54026",Ryanside,House,1149730,Available
P00015,"042 Kayla Hollow Apt. 218, West Debbiebury, MH 34712",Emilychester,House,114358,Sold
P00016,"PSC 7493, Box 9961, APO AA 03370",Harryburgh,Condo,1222231,Rented
P00017,"03828 Stephanie Causeway, Taylorburgh, IL 32999",North Ronald,House,497711,Sold
P00018,"46174 Nicole Stream, West Melissaborough, MA 90896",Teresafort,Apartment,342242,Sold
P00019,"90084 French Extension Apt. 938, Christopherburgh, MP 20527",New Jeffery,Condo,611581,Rented
P00020,"734 Higgins View, New Andrewtown, SD 93898",Clarkton,Apartment,1204607,Available
P00021,"339 Chad Spring Suite 511, New Laurenchester, MT 70658",Samanthastad,Condo,213182,Rented
P00022,"1875 Hughes Station Suite 165, Port Deniseview, ID 39076",Lake Alexanderfort,Condo,1908747,Sold
P00023,"Unit 3987 Box 2006, DPO AA 20419",New Ryanburgh,Condo,1450720,Available
P00024,"7026 John Pass, New Sylvia, ID 42030",Port Jessicafurt,Apartment,521643,Available
P00025,"PSC 3804, Box 6996, APO AA 84682",Morenomouth,Land,1417540,Available
P00026,"2683 Daniel Square Apt. 391, West Patriciabury, FL 94508",Mcclaintown,House,1213821,Available
P00027,"5672 Charles Springs, Lake Alexisville, CO 76424",Lake Keith,Condo,1175033,Rented
P00028,"352 Zachary Stream Apt. 904, Port Erica, OR 71245",Port Heather,House,508820,Sold
P00029,"6291 Samantha Centers Apt. 859, Baileymouth, SD 18050",Lake Darlenehaven,House,1151356,Available
P00030,"0036 Christopher Orchard, West Peter, AL 30085",Brandonville,Land,1484167,Sold
P00031,"4261 Newman Ranch Apt. 814, East Christy, NH 77145",New Autumnfurt,Land,680017,Available
P00032,"223 Rojas Curve, Colleenview, OK 81115",Erinburgh,Condo,1702883,Sold
P00033,"690 Kim Center Apt. 406, Fisherfort, SC 29695",North Gina,Apartment,1797757,Sold
P00034,"39625 Robert Rue Suite 924, Robertsontown, ND 55896",New Heather,Land,1839895,Rented
P00035,"162 Stanley Track, Meganmouth, VI 96682",Stephaniemouth,Condo,1628240,Available
P00036,"0409 Daniel Mill, Lake James, TN 56119",Williamsbury,House,621394,Available
P00037,"95106 Hayes Turnpike Apt. 765, Butlerbury, ND 51214",Port Heather,Apartment,437024,Available
P00038,"478 Jeff Manors, Kellymouth, OR 85542",Kyleshire,House,949607,Rented
P00039,"USNV Hobbs, FPO AA 08401",Jonesmouth,Condo,1959392,Rented
P00040,"645 Hanna Walks, Brianton, PR 32624",Lake Brittanyfort,Condo,1005934,Rented
P00041,"8405 Dawson Fort, West Christopher, DE 53471",Johnhaven,Land,356624,Rented
