orderID,customerID,productID,orderDate,quantity,orderStatus
O10001,C1465,P01332,2025-05-02,9,Pending
O10002,C1297,P00201,2025-04-13,6,Cancelled
O10003,C2769,P00631,2025-05-03,7,Pending
O10004,C0183,P01666,2024-04-01,2,Cancelled
O10005,C3832,P01690,2024-06-05,2,Shipped
O10006,C2039,P00128,2024-04-08,1,Pending
O10007,C3445,P01804,2025-05-10,3,Shipped
O10008,C0520,P01910,2024-11-13,9,Pending
O10009,C2100,P00968,2025-01-02,2,Delivered
O10010,C2544,P00935,2024-01-29,9,Cancelled
O10011,C1858,P01185,2024-08-09,6,Pending
O10012,C1599,P01506,2024-06-21,1,Cancelled
O10013,C0856,P01970,2024-04-20,4,Cancelled
O10014,C0994,P01153,2024-02-11,6,Cancelled
O10015,C2304,P00192,2023-07-14,8,Cancelled
O10016,C3802,P01263,2025-06-07,10,Shipped
O10017,C2242,P01917,2025-06-17,5,Delivered
O10018,C3960,P01146,2025-05-22,3,Cancelled
O10019,C0995,P01966,2023-11-07,9,Delivered
O10020,C2125,P00650,2024-10-13,8,Cancelled
O10021,C0868,P01594,2025-05-18,9,Delivered
O10022,C3725,P00192,2024-03-12,5,Cancelled
O10023,C2595,P01095,2024-01-04,3,Cancelled
O10024,C3478,P01182,2023-10-23,1,Shipped
O10025,C1476,P01155,2025-03-21,6,Pending
O10026,C0950,P00282,2024-06-25,1,Delivered
O10027,C0902,P00196,2023-07-02,8,Shipped
O10028,C3498,P00623,2024-10-16,10,Shipped
O10029,C0104,P01299,2023-12-23,6,Delivered
O10030,C0169,P01983,2025-01-31,9,Shipped
O10031,C3650,P00224,2025-01-11,10,Delivered
O10032,C0723,P01513,2024-08-18,7,Shipped
O10033,C0916,P01678,2023-07-28,10,Cancelled
O10034,C1237,P01681,2024-11-09,10,Shipped
O10035,C0510,P01512,2025-01-16,6,Shipped
O10036,C0800,P00104,2024-11-16,7,Pending
O10037,C0216,P00116,2024-12-04,8,Pending
O10038,C0505,P00138,2025-04-07,10,Delivered
O10039,C2049,P01188,2025-01-29,7,Pending
O10040,C3109,P00282,2024-02-03,10,Delivered
O10041,C2339,P00328,2023-08-13,2,Cancelled
O10042,C3436,P00353,2025-03-27,10,Cancelled
O10043,C0045,P00496,2025-05-24,2,Pending
O10044,C1622,P00995,2024-02-13,2,Shipped
O10045,C2432,P00298,2023-08-29,9,Delivered
