paymentID,orderID,amount,paymentDate,method,status
PAY20001,O12352,1531,2023-12-08,Credit,Success
PAY20002,O12096,1386,2024-07-17,UPI,Success
PAY20003,O16652,961,2025-06-15,UPI,Failed
PAY20004,O13796,1331,2024-05-05,Debit,Success
PAY20005,O14609,865,2024-10-19,UPI,Failed
PAY20006,O15340,440,2025-02-20,UPI,Failed
PAY20007,O13704,482,2024-04-03,Credit,Failed
PAY20008,O10843,320,2024-04-13,Wallet,Success
PAY20009,O15900,1155,2023-11-17,Credit,Failed
PAY20010,O15359,1114,2025-04-07,Debit,Failed
PAY20011,O12715,396,2024-10-15,Credit,Success
PAY20012,O13269,503,2024-09-10,Wallet,Success
PAY20013,O11499,1118,2023-09-17,Credit,Failed
PAY20014,O14071,1288,2023-07-03,UPI,Success
PAY20015,O16051,102,2024-11-14,Wallet,Success
PAY20016,O13597,1229,2025-01-03,Credit,Failed
PAY20017,O14625,1058,2025-02-17,Credit,Failed
PAY20018,O16359,962,2024-02-13,Wallet,Failed
PAY20019,O13905,1771,2024-07-09,UPI,Success
PAY20020,O13758,1426,2024-12-23,Wallet,Success
PAY20021,O12834,746,2024-04-26,Credit,Success
PAY20022,O12269,365,2024-11-20,UPI,Failed
PAY20023,O11034,313,2024-06-28,Credit,Failed
PAY20024,O13159,1806,2024-04-24,Credit,Success
PAY20025,O14484,169,2024-01-09,Debit,Failed
PAY20026,O10852,875,2025-02-18,Debit,Success
PAY20027,O14266,431,2024-07-10,UPI,Failed
PAY20028,O11708,1554,2023-11-21,Credit,Failed
PAY20029,O14952,1262,2024-12-22,Credit,Failed
PAY20030,O13376,1376,2025-06-04,Wallet,Success
PAY20031,O13530,1776,2024-08-13,Wallet,Failed
PAY20032,O15563,394,2024-09-30,UPI,Failed
PAY20033,O16078,1065,2025-06-07,Debit,Success
PAY20034,O11578,249,2024-05-20,Debit,Success
PAY20035,O11625,940,2024-12-20,UPI,Failed
PAY20036,O14392,1103,2023-06-28,Credit,Success
PAY20037,O11923,1485,2023-11-15,Credit,Failed
PAY20038,O14424,1015,2024-04-11,Credit,Success
PAY20039,O16041,729,2023-12-13,Debit,Failed
PAY20040,O10636,52,2024-03-31,Credit,Success
PAY20041,O16698,234,2024-12-01,Wallet,Success
PAY20042,O14580,85,2024-05-06,Credit,Success
PAY20043,O11128,267,2025-05-21,Credit,Success
PAY20044,O15705,1927,2024-02-16,UPI,Failed
PAY20045,O11189,937,2024-12-18,Credit,Failed
PAY20046,O12492,625,2024-10-30,Debit,Failed
PAY20047,O16087,768,2024-07-17,Credit,Success
PAY20048,O10858,575,2024-08-21,Debit,Success
PAY20049,O10482,834,2024-02-05,Debit,Success
PAY20050,O10215,167,2025-01-03,Credit,Success
PAY20051,O14044,47,2024-10-12,Credit,Failed
PAY20052,O13802,1133,2024-12-18,Wallet,Success
PAY20053,O11795,1117,2024-03-14,Wallet,Success
PAY20054,O13161,98,2023-12-08,UPI,Failed
PAY20055,O15686,982,2024-12-14,Credit,Success
PAY20056,O16031,633,2023-09-28,UPI,Success
PAY20057,O15801,1361,2024-05-10,UPI,Success
PAY20058,O10063,850,2023-12-17,UPI,Failed
PAY20059,O11819,878,2023-08-09,UPI,Failed
PAY20060,O15703,622,2024-10-25,UPI,Failed
PAY20061,O14206,1758,2024-03-25,Credit,Success
PAY20062,O11401,1907,2023-10-13,Debit,Failed
PAY20063,O15414,1926,2024-07-25,UPI,Failed
PAY20064,O16755,1643,2023-11-20,Credit,Failed
PAY20065,O10481,674,2024-08-15,Credit,Failed
PAY20066,O14261,1899,2023-10-09,Debit,Failed
PAY20067,O10217,675,2024-12-19,Credit,Failed
PAY20068,O13780,556,2023-11-14,Wallet,Failed
PAY20069,O16737,1643,2025-02-16,Credit,Success
PAY20070,O13117,361,2024-10-25,UPI,Success
PAY20071,O10610,1675,2024-07-24,Credit,Success
PAY20072,O16525,305,2023-10-27,Wallet,Failed
PAY20073,O13401,89,2025-01-23,Debit,Failed
PAY20074,O12173,370,2025-05-04,UPI,Success
PAY20075,O16242,1388,2024-06-30,Wallet,Success
PAY20076,O10332,1732,2025-04-29,Credit,Failed
