productID,productName,category,unitPrice,unitsInStock
P00001,They,Toys,458.55,6
P00002,Easy,Electronics,175.86,402
P00003,Church,Home,487.69,380
P00004,Against,Toys,1404.0,432
P00005,Build,Clothing,44.73,278
P00006,Mission,Electronics,1741.3,240
P00007,Training,Clothing,580.88,340
P00008,Common,Clothing,1345.82,235
P00009,Key,Books,1460.66,70
P00010,Behavior,Toys,1688.29,347
P00011,Vote,Grocery,907.68,499
P00012,Listen,Grocery,182.77,370
P00013,Woman,Electronics,1836.29,477
P00014,Since,Home,1372.13,308
P00015,Politics,Clothing,833.57,72
P00016,Ten,Books,1140.43,419
P00017,Win,Home,203.54,100
P00018,Several,Grocery,376.77,466
P00019,Physical,Grocery,1938.31,91
P00020,Participant,Home,7.27,150
P00021,Staff,Books,384.41,479
P00022,Police,Toys,957.22,201
P00023,Situation,Clothing,1588.16,282
P00024,Spring,Clothing,1385.9,366
P00025,Drug,Electronics,826.83,401
P00026,Very,Home,66.9,357
P00027,Suddenly,Books,1041.05,164
P00028,Evening,Electronics,259.55,304
P00029,Describe,Grocery,52.48,59
P00030,Control,Electronics,721.25,199
P00031,It,Clothing,1588.11,500
P00032,Administration,Books,1166.38,422
P00033,Dark,Home,479.14,107
P00034,Across,Home,468.35,235
P00035,Opportunity,Books,746.61,380
P00036,As,Home,445.12,254
P00037,Power,Electronics,649.21,44
P00038,Find,Books,449.13,208
P00039,Agency,Grocery,1621.33,258
P00040,Accept,Electronics,1992.96,433
P00041,Drug,Grocery,1351.32,71
P00042,Idea,Home,913.38,139
P00043,Sport,Clothing,567.12,78
P00044,Federal,Clothing,139.83,319
P00045,Rather,Books,1046.17,228
P00046,Site,Toys,817.02,50
P00047,Debate,Toys,128.94,159
P00048,Site,Electronics,1191.0,329
P00049,None,Grocery,1988.27,124
P00050,Language,Home,40.36,485
P00051,Magazine,Books,331.38,166
P00052,Behind,Grocery,795.52,31
P00053,Pressure,Clothing,1223.6,357
P00054,Role,Grocery,1332.0,173
P00055,Arm,Home,634.94,47
P00056,Share,Clothing,42.48,27
P00057,Soldier,Electronics,1254.65,242
P00058,Car,Books,1810.54,445
P00059,Early,Books,720.91,279
P00060,Base,Toys,1537.46,18
P00061,Season,Home,1033.1,3
P00062,What,Books,379.3,147
P00063,Find,Books,828.12,453
P00064,Less,Grocery,1991.71,403
P00065,Western,Books,1063.05,22
P00066,Involve,Clothing,1236.42,493
P00067,Live,Home,505.01,243
P00068,Into,Clothing,866.54,101
P00069,Region,Clothing,993.33,476
P00070,Among,Electronics,1081.73,246
P00071,About,Books,1060.28,220
P00072,Prevent,Electronics,1993.1,307
P00073,Reach,Electronics,77.12,74
P00074,Sell,Grocery,1386.04,174
P00075,Bed,Toys,485.1,88
P00076,Store,Clothing,221.44,427
P00077,Town,Toys,1724.83,62
P00078,Evidence,Books,1775.14,486
P00079,Necessary,Grocery,1232.01,187
P00080,List,Home,1577.85,213
P00081,Speak,Grocery,1206.72,13
P00082,Thus,Grocery,1015.54,158
P00083,When,Electronics,1314.74,197
P00084,She,Electronics,1768.94,143
P00085,Property,Grocery,1629.88,236
P00086,Throughout,Electronics,248.17,238
P00087,Certainly,Clothing,358.47,479
P00088,Trade,Grocery,1843.31,255
P00089,Past,Books,1110.15,256
P00090,Point,Home,1403.6,466
P00091,Time,Books,470.47,320
P00092,Let,Electronics,104.89,285
P00093,Against,Toys,1358.05,204
P00094,View,Electronics,784.17,38
P00095,List,Grocery,863.07,495
P00096,Perhaps,Toys,1608.45,198
P00097,Anyone,Clothing,848.74,268
P00098,Center,Electronics,1966.76,238
P00099,Sit,Clothing,725.31,384
P00100,Recent,Home,153.7,236
P00101,Paper,Books,878.31,69
P00102,Vote,Toys,797.61,113
P00103,Store,Books,60.16,11
P00104,Without,Home,643.99,47
P00105,If,Clothing,1484.34,342
P00106,See,Home,1948.8,299
P00107,Plan,Books,335.87,185
P00108,White,Home,1838.28,108
P00109,Social,Books,1766.13,278
P00110,Girl,Toys,1909.26,68
P00111,Represent,Home,1281.82,33
P00112,Wrong,Toys,742.76,431
P00113,Adult,Clothing,254.55,306
P00114,Happy,Electronics,849.01,52
P00115,Usually,Grocery,339.89,351
P00116,Husband,Books,652.72,311
P00117,Animal,Books,582.8,312
P00118,Skin,Toys,199.11,79
P00119,Hold,Books,1010.08,230
P00120,War,Grocery,1614.57,305
P00121,Find,Home,132.36,37
P00122,Half,Books,935.67,339
P00123,Decide,Home,982.12,444
P00124,Power,Clothing,348.97,232
P00125,Generation,Home,892.87,262
P00126,Agree,Toys,37.98,53
P00127,Black,Clothing,206.53,34
P00128,World,Grocery,1700.96,49
P00129,Decision,Grocery,801.61,223
P00130,Friend,Electronics,1924.34,400
P00131,Between,Books,82.8,133
P00132,Pm,Books,1118.8,434
P00133,Myself,Home,1188.68,462
P00134,Particularly,Grocery,186.49,414
P00135,Responsibility,Electronics,1497.86,293
P00136,Discuss,Books,1503.55,39
P00137,Yourself,Toys,984.8,331
P00138,Act,Books,68.97,278
P00139,Knowledge,Home,334.57,28
P00140,Least,Clothing,360.37,357
P00141,Relate,Grocery,1773.28,428
P00142,Small,Toys,484.92,93
P00143,Election,Books,795.15,257
P00144,New,Grocery,1821.3,232
P00145,Pretty,Grocery,579.18,160
P00146,Answer,Grocery,1908.59,11
P00147,Bad,Toys,376.23,150
P00148,Participant,Home,1503.44,220
P00149,We,Clothing,561.64,121
P00150,Music,Home,78.55,302
P00151,Type,Electronics,1749.95,192
P00152,Center,Books,1072.5,352
P00153,When,Electronics,1921.8,338
P00154,Special,Toys,1779.09,287
P00155,Body,Electronics,1054.89,105
P00156,Night,Grocery,1898.48,313
P00157,Nature,Toys,584.44,459
P00158,Total,Clothing,1376.0,325
P00159,Professional,Electronics,422.03,5
P00160,Receive,Clothing,1121.51,372
P00161,Foot,Books,151.11,364
P00162,Animal,Clothing,1921.98,193
