orderID,customerID,productID,orderDate,quantity,orderStatus
O10001,C0372,PR01906,2022-10-16,30,Delivered
O10002,C0510,PR02615,2023-11-11,36,Cancelled
O10003,C0336,PR01448,2023-12-29,72,Delivered
O10004,C0552,PR00186,2022-09-23,15,Delivered
O10005,C0757,PR00871,2023-04-26,5,Cancelled
O10006,C1368,PR01019,2023-07-28,36,Delivered
O10007,C1582,PR01543,2023-12-15,39,Delivered
O10008,C1477,PR01824,2023-11-18,61,Cancelled
O10009,C1998,PR02100,2024-12-15,56,Shipped
O10010,C0114,PR00602,2024-04-05,56,Pending
O10011,C0511,PR00080,2023-10-15,50,Shipped
O10012,C1914,PR02459,2024-07-02,50,Shipped
O10013,C0789,PR01390,2024-05-27,30,Shipped
O10014,C1470,PR02847,2024-03-06,85,Pending
O10015,C1172,PR02717,2024-02-05,13,Pending
O10016,C1398,PR02743,2023-09-29,89,Shipped
O10017,C0454,PR00745,2023-10-12,84,Cancelled
O10018,C0132,PR02756,2023-07-04,59,Delivered
O10019,C0603,PR01103,2024-11-02,79,Delivered
O10020,C1725,PR01852,2024-05-29,63,Delivered
O10021,C0757,PR00279,2023-02-23,49,Cancelled
O10022,C0201,PR01105,2024-01-22,24,Delivered
O10023,C0939,PR00690,2025-02-07,24,Pending
O10024,C1615,PR00755,2023-01-05,31,Delivered
O10025,C0679,PR01513,2024-02-19,91,Cancelled
O10026,C1943,PR01667,2023-09-02,91,Cancelled
O10027,C0176,PR00798,2023-02-10,78,Shipped
O10028,C0396,PR01381,2022-12-08,13,Delivered
O10029,C0169,PR00847,2024-07-11,72,Delivered
O10030,C0367,PR00830,2023-08-11,62,Pending
O10031,C0411,PR02727,2023-12-09,71,Shipped
O10032,C0380,PR02515,2024-08-09,11,Cancelled
O10033,C0256,PR01712,2024-01-14,23,Cancelled
O10034,C1030,PR00117,2023-03-17,36,Shipped
O10035,C1658,PR00346,2024-01-10,72,Pending
O10036,C0380,PR01074,2024-05-20,38,Cancelled
O10037,C1184,PR01295,2024-07-22,28,Pending
O10038,C1876,PR00884,2023-07-07,21,Pending
O10039,C0171,PR02162,2023-09-21,73,Shipped
O10040,C1355,PR02108,2023-11-19,59,Cancelled
O10041,C0842,PR01707,2023-01-08,38,Delivered
O10042,C1695,PR01599,2023-11-04,12,Delivered
O10043,C1277,PR01552,2024-02-03,1,Shipped
O10044,C0235,PR01628,2024-10-16,66,Delivered
O10045,C0729,PR00417,2023-12-09,1,Delivered
O10046,C1594,PR01003,2023-05-20,60,Shipped
O10047,C0255,PR00094,2025-01-08,1,Pending
O10048,C1453,PR00876,2024-04-29,59,Delivered
O10049,C0721,PR00900,2022-09-05,16,Delivered
O10050,C0232,PR00063,2025-04-23,1,Delivered
O10051,C1377,PR02871,2025-03-31,53,Pending
O10052,C0335,PR01233,2025-03-22,88,Pending
O10053,C0569,PR00294,2025-01-10,84,Shipped
O10054,C1743,PR01597,2024-12-18,5,Pending
O10055,C1599,PR02694,2022-09-25,21,Cancelled
O10056,C0370,PR00793,2024-10-22,40,Delivered
O10057,C1952,PR02223,2022-06-26,2,Cancelled
O10058,C1464,PR01824,2024-01-04,7,Cancelled
O10059,C1854,PR00911,2022-10-11,3,Shipped
O10060,C1664,PR02448,2023-10-11,52,Delivered
O10061,C1839,PR02384,2024-10-04,20,Delivered
O10062,C0102,PR02465,2023-02-09,62,Cancelled
O10063,C0081,PR00908,2022-07-15,38,Delivered
O10064,C1139,PR00768,2022-10-25,46,Delivered
O10065,C0582,PR02632,2023-02-21,83,Delivered
O10066,C1984,PR02423,2025-06-16,93,Cancelled
O10067,C1794,PR00227,2025-04-06,58,Shipped
O10068,C0436,PR02812,2025-04-03,70,Shipped
O10069,C1391,PR02479,2022-10-15,8,Pending
O10070,C1406,PR00523,2025-02-11,30,Cancelled
O10071,C0237,PR01494,2023-12-20,97,Shipped
O10072,C1792,PR01571,2025-02-01,17,Delivered
O10073,C0009,PR02030,2023-12-08,97,Shipped
O10074,C0893,PR01522,2024-06-03,33,Cancelled
O10075,C0663,PR02921,2023-05-22,20,Pending
O10076,C0226,PR02479,2023-10-08,79,Delivered
O10077,C0851,PR02759,2025-05-22,51,Delivered
O10078,C0603,PR00381,2024-08-31,75,Delivered
O10079,C1942,PR02186,2023-10-01,14,Cancelled
O10080,C0779,PR01905,2022-08-16,46,Cancelled
O10081,C1110,PR01332,2024-10-01,83,Delivered
O10082,C0649,PR02994,2023-12-31,53,Shipped
O10083,C1013,PR01019,2024-08-20,18,Delivered
O10084,C0440,PR02180,2023-11-25,53,Pending
O10085,C1335,PR02807,2023-01-20,19,Pending
O10086,C1539,PR02528,2025-03-27,32,Delivered
O10087,C0645,PR02160,2024-08-24,8,Delivered
O10088,C1836,PR00058,2022-08-19,80,Shipped
O10089,C0661,PR01135,2024-05-20,5,Cancelled
O10090,C1868,PR00672,2023-02-24,27,Pending
O10091,C0080,PR01416,2025-03-01,81,Cancelled
O10092,C1899,PR00105,2024-09-01,35,Pending
O10093,C0421,PR00121,2025-01-14,31,Shipped
O10094,C1817,PR02303,2024-08-11,68,Shipped
O10095,C0795,PR01669,2022-12-25,48,Delivered
O10096,C0156,PR02120,2023-02-25,43,Pending
O10097,C0977,PR02590,2024-11-09,4,Shipped
O10098,C0725,PR02747,2023-07-16,22,Pending
O10099,C1460,PR02613,2024-01-03,94,Shipped
O10100,C0479,PR02852,2025-02-22,58,Cancelled
O10101,C0424,PR01207,2024-12-31,64,Shipped
O10102,C0110,PR00588,2023-12-03,23,Shipped
O10103,C1246,PR02805,2024-11-05,70,Pending
O10104,C0763,PR01482,2022-10-17,96,Delivered
O10105,C0432,PR00294,2023-06-01,18,Shipped
O10106,C1960,PR01259,2025-03-20,99,Delivered
O10107,C1277,PR01046,2025-04-26,62,Delivered
O10108,C0804,PR00935,2024-10-11,39,Delivered
O10109,C1084,PR01563,2024-05-07,36,Delivered
O10110,C0359,PR01444,2025-01-13,98,Cancelled
O10111,C1668,PR01836,2023-05-27,53,Delivered
O10112,C0647,PR01482,2024-10-23,33,Delivered
O10113,C1802,PR00280,2024-11-22,12,Cancelled
O10114,C1146,PR02758,2025-03-15,23,Shipped
O10115,C1278,PR00449,2025-03-26,52,Pending
O10116,C1421,PR02175,2024-08-14,9,Pending
O10117,C1084,PR01613,2023-02-09,34,Delivered
O10118,C0986,PR02655,2024-02-03,40,Cancelled
O10119,C0286,PR02653,2024-06-10,98,Shipped
O10120,C0549,PR00063,2024-10-17,23,Delivered
O10121,C1700,PR02026,2022-12-12,40,Pending
O10122,C1266,PR00530,2024-10-25,67,Cancelled
O10123,C0644,PR01915,2024-03-13,23,Shipped
O10124,C1957,PR00616,2024-12-08,18,Shipped
O10125,C0534,PR01660,2023-05-12,35,Shipped
O10126,C0035,PR00284,2024-07-23,41,Pending
O10127,C0929,PR01511,2022-10-11,50,Cancelled
O10128,C0090,PR00108,2024-01-25,97,Delivered
O10129,C1179,PR01787,2022-08-12,58,Pending
O10130,C0111,PR02793,2022-10-13,63,Shipped
O10131,C1200,PR01676,2024-12-23,28,Pending
O10132,C0567,PR01158,2025-05-28,96,Pending
O10133,C1521,PR02096,2022-11-14,68,Cancelled
O10134,C0179,PR02556,2024-07-26,99,Delivered
O10135,C0872,PR01078,2023-08-16,82,Delivered
O10136,C0750,PR01802,2022-08-27,93,Shipped
O10137,C1618,PR00094,2023-01-30,13,Pending
O10138,C0188,PR00486,2023-04-01,9,Shipped
O10139,C1004,PR00640,2025-05-21,57,Delivered
O10140,C0491,PR01032,2024-03-05,22,Cancelled
O10141,C0568,PR02721,2024-04-14,66,Delivered
O10142,C1590,PR02698,2024-10-05,6,Shipped
O10143,C1698,PR00519,2022-11-21,5,Shipped
O10144,C1547,PR02087,2023-01-04,100,Shipped
O10145,C0513,PR01533,2024-06-23,32,Shipped
O10146,C0883,PR01842,2023-02-23,58,Cancelled
O10147,C0830,PR00575,2022-09-26,42,Shipped
O10148,C0356,PR00925,2024-02-01,75,Delivered
O10149,C0426,PR01466,2022-11-07,99,Delivered
O10150,C1021,PR01756,2023-03-04,28,Shipped
O10151,C1662,PR02794,2024-05-13,82,Cancelled
O10152,C0127,PR00156,2024-06-07,47,Pending
O10153,C1302,PR01501,2025-01-13,79,Pending
O10154,C1685,PR02340,2025-01-20,47,Pending
O10155,C0948,PR02021,2024-01-11,77,Shipped
O10156,C0766,PR01181,2024-10-30,60,Delivered
O10157,C0865,PR00027,2022-12-30,1,Delivered
O10158,C0869,PR01334,2025-03-07,82,Shipped
O10159,C1520,PR00590,2025-06-15,92,Cancelled
O10160,C1787,PR01257,2025-06-05,60,Delivered
O10161,C1383,PR02407,2024-12-26,18,Delivered
O10162,C0738,PR00778,2023-08-31,70,Delivered
O10163,C1625,PR02295,2025-03-05,76,Delivered
O10164,C0330,PR01689,2023-12-19,27,Pending
O10165,C1262,PR00942,2024-01-17,54,Pending
O10166,C0517,PR02301,2022-12-14,48,Pending
O10167,C0807,PR01811,2023-12-11,81,Shipped
O10168,C0687,PR01931,2023-01-13,81,Cancelled
O10169,C0380,PR02416,2024-09-19,52,Shipped
O10170,C1212,PR01328,2024-03-30,61,Delivered
O10171,C1017,PR02814,2024-07-17,38,Cancelled
O10172,C1720,PR00209,2022-07-08,38,Pending
O10173,C1338,PR02504,2022-07-06,23,Cancelled
O10174,C0690,PR01375,2023-10-16,18,Cancelled
O10175,C1872,PR01465,2023-07-06,52,Pending
O10176,C0305,PR02941,2024-08-23,43,Pending
O10177,C0607,PR02671,2023-03-16,43,Pending
O10178,C0577,PR00578,2025-04-20,7,Pending
O10179,C0736,PR01039,2023-01-23,54,Pending
O10180,C1169,PR02772,2025-03-16,81,Delivered
O10181,C0074,PR01788,2022-08-17,94,Delivered
O10182,C0535,PR00385,2024-06-14,56,Pending
O10183,C1934,PR02182,2024-09-17,42,Cancelled
O10184,C1469,PR00453,2022-12-09,69,Shipped
O10185,C0585,PR01061,2023-03-06,66,Cancelled
O10186,C1579,PR02764,2024-01-26,32,Pending
O10187,C1726,PR00616,2023-09-18,63,Cancelled
