productID,supplierID,productName,category,unitPrice,unitsInStock,reorderLevel
PR00001,S0139,Concern,Furniture,3738.16,904,43
PR00002,S0367,Serious,Automotive,3948.48,160,29
PR00003,S0131,Popular,Electronics,3254.39,330,54
PR00004,S0454,Piece,Food,2264.91,672,96
PR00005,S0100,Travel,Electronics,2508.38,568,75
PR00006,S0305,Maybe,Electronics,4452.04,830,30
PR00007,S0358,Building,Food,1268.76,295,86
PR00008,S0187,Can,Pharma,235.27,128,92
PR00009,S0491,Word,Pharma,3876.11,754,48
PR00010,S0413,Particularly,Electronics,1837.88,780,48
PR00011,S0092,That,Clothing,1487.3,162,78
PR00012,S0253,Result,Electronics,4290.04,384,100
PR00013,S0129,Republican,Clothing,2179.38,807,68
PR00014,S0437,Area,Automotive,4701.22,419,55
PR00015,S0034,Exactly,Automotive,1233.08,293,72
PR00016,S0185,Modern,Electronics,3171.06,573,43
PR00017,S0137,Than,Furniture,2125.8,949,96
PR00018,S0467,Who,Pharma,2908.98,199,15
PR00019,S0210,Act,Pharma,1664.24,707,36
PR00020,S0082,Water,Furniture,336.89,678,37
PR00021,S0426,Manage,Furniture,3993.77,438,13
PR00022,S0425,Among,Clothing,3369.06,12,39
PR00023,S0434,Fill,Furniture,2495.14,682,47
PR00024,S0042,Maybe,Electronics,4030.05,647,23
PR00025,S0219,Rest,Electronics,4755.79,13,32
PR00026,S0379,Agree,Electronics,298.86,299,52
PR00027,S0158,Doctor,Clothing,3407.57,68,41
PR00028,S0114,Light,Electronics,2507.47,223,24
PR00029,S0206,Because,Automotive,339.23,849,50
PR00030,S0427,Environmental,Food,2096.91,410,84
PR00031,S0014,Senior,Pharma,1775.0,832,42
PR00032,S0368,Time,Automotive,3615.18,199,37
PR00033,S0319,How,Clothing,963.98,497,75
PR00034,S0174,Pressure,Food,768.31,138,31
PR00035,S0152,How,Clothing,3969.14,792,28
PR00036,S0183,Space,Food,4772.57,763,62
PR00037,S0076,Once,Automotive,3497.55,159,78
PR00038,S0138,Quickly,Electronics,299.37,113,42
PR00039,S0367,Item,Clothing,4686.31,488,18
PR00040,S0378,Effort,Furniture,3858.43,153,25
PR00041,S0213,But,Furniture,4551.39,842,17
PR00042,S0083,Expert,Electronics,2149.99,513,30
PR00043,S0043,Remember,Clothing,2855.63,236,65
PR00044,S0465,Morning,Pharma,3682.27,989,34
PR00045,S0288,Art,Pharma,290.57,70,94
PR00046,S0122,Sit,Pharma,3792.12,136,48
PR00047,S0470,Decade,Clothing,2001.95,294,69
PR00048,S0449,Service,Clothing,811.63,304,13
PR00049,S0124,Involve,Pharma,4911.71,889,33
PR00050,S0006,Identify,Electronics,806.64,969,78
PR00051,S0398,White,Pharma,800.05,791,19
PR00052,S0278,Toward,Pharma,4945.0,808,37
PR00053,S0302,Other,Electronics,597.1,930,21
