shipmentID,orderID,shipDate,deliveryDate,carrier,status
SH20001,O14662,2023-11-01,2023-11-01,Clark-Williams,Delivered
SH20002,O17835,2025-03-21,,Miller-Ross,Lost
SH20003,O14261,2025-02-17,2025-02-17,"Gray, Jennings and Vargas",Delayed
SH20004,O10206,2023-10-10,2023-10-10,Scott Inc,Delayed
SH20005,O10618,2024-07-20,2024-07-20,Pierce-Stevens,Delivered
SH20006,O11835,2024-02-01,2024-02-01,Davis PLC,Delayed
SH20007,O13702,2023-10-16,2023-10-16,Rivera-Mcpherson,Delayed
SH20008,O10892,2024-03-12,2024-03-12,"Klein, Wells and Chung",Delivered
SH20009,O15414,2025-02-28,2025-02-28,"Martinez, Alvarez and Mercado",Delayed
SH20010,O11986,2024-06-03,2024-06-03,Tucker-Henderson,Delivered
SH20011,O13579,2025-02-16,2025-02-16,"Soto, Meyer and Payne",Lost
SH20012,O16327,2025-02-05,2025-02-05,"Smith, Rodriguez and Anderson",Lost
SH20013,O13333,2025-03-18,2025-03-18,"Gutierrez, Mitchell and Dunlap",Delayed
SH20014,O17152,2024-10-24,2024-10-24,Bell and Sons,Delayed
SH20015,O12455,2023-11-07,2023-11-07,Patton-Hays,In Transit
SH20016,O12485,2023-10-07,2023-10-07,Davis-Mccarty,Lost
SH20017,O11294,2024-08-13,,Hernandez-Robinson,Delivered
SH20018,O10038,2025-02-21,2025-02-21,"Hogan, Weaver and Browning",In Transit
SH20019,O13201,2024-08-10,2024-08-10,"Norris, Edwards and Ball",Delivered
SH20020,O15575,2023-12-25,2023-12-25,Diaz PLC,In Transit
SH20021,O11088,2024-09-27,2024-09-27,Davis-Mcdaniel,Delayed
SH20022,O17172,2025-03-25,2025-03-25,Leon PLC,Delayed
SH20023,O14130,2025-01-29,2025-01-29,"Wright, Hall and Ross",Delivered
SH20024,O16745,2025-03-16,2025-03-16,Chavez-Edwards,Lost
SH20025,O10250,2024-08-22,2024-08-22,Hardy-Wilson,Delivered
SH20026,O14313,2024-08-06,2024-08-06,"Harrison, Spears and Clark",Lost
SH20027,O17208,2024-08-18,2024-08-18,Gomez LLC,Lost
SH20028,O10497,2024-08-01,2024-08-01,Gill-Taylor,In Transit
SH20029,O12767,2024-03-18,,Gonzalez PLC,In Transit
