billID,customerID,amount,billDate,status
B20001,C0826,2492,2024-04-06,Paid
B20002,C1978,4420,2023-11-06,Paid
B20003,C1503,4514,2023-08-19,Unpaid
B20004,C0355,4791,2024-10-02,Pending
B20005,C2389,1974,2024-11-27,Unpaid
B20006,C1931,3220,2024-02-09,Unpaid
B20007,C0754,4743,2024-05-12,Unpaid
B20008,C2626,3548,2024-07-19,Pending
B20009,C0850,4013,2024-12-10,Paid
B20010,C0058,1943,2024-04-13,Unpaid
B20011,C0604,2170,2023-09-03,Pending
B20012,C3173,1300,2023-07-15,Pending
B20013,C1448,1723,2025-01-05,Pending
B20014,C1891,3442,2025-04-15,Pending
B20015,C0135,3957,2025-05-13,Unpaid
B20016,C0325,4967,2024-05-26,Paid
B20017,C0925,849,2024-08-18,Paid
B20018,C0367,4241,2024-01-18,Pending
B20019,C0090,967,2023-10-23,Paid
B20020,C0460,4170,2024-10-18,Paid
B20021,C0652,3438,2023-08-19,Pending
B20022,C3236,1045,2024-05-21,Unpaid
B20023,C2594,3186,2025-02-27,Unpaid
B20024,C1499,943,2024-01-22,Unpaid
B20025,C2285,595,2024-01-30,Unpaid
B20026,C3017,1916,2023-10-06,Pending
B20027,C2396,4010,2024-03-27,Pending
B20028,C1947,3489,2023-12-21,Paid
B20029,C1180,971,2025-06-02,Paid
B20030,C0928,435,2025-02-16,Unpaid
B20031,C0895,3391,2024-07-30,Unpaid
B20032,C3284,3011,2023-10-27,Unpaid
B20033,C1250,3091,2024-12-10,Paid
B20034,C3488,257,2024-06-27,Paid
B20035,C3425,4083,2023-09-29,Unpaid
B20036,C1417,3470,2024-05-21,Paid
B20037,C3224,1010,2023-11-15,Paid
B20038,C3355,2594,2023-11-10,Pending
B20039,C3127,1064,2024-12-23,Unpaid
B20040,C1448,1387,2025-02-22,Paid
B20041,C1000,2131,2024-03-11,Pending
B20042,C2269,2998,2023-12-25,Pending
B20043,C2152,3154,2025-01-15,Unpaid
B20044,C1001,1100,2023-11-16,Paid
B20045,C3226,1638,2025-02-23,Pending
B20046,C0007,3127,2025-03-22,Paid
B20047,C3440,1908,2024-03-09,Pending
B20048,C2576,1765,2025-03-25,Paid
B20049,C1810,1773,2025-04-15,Paid
B20050,C2107,1898,2025-06-14,Pending
B20051,C0244,788,2025-04-04,Paid
B20052,C0840,4434,2025-02-16,Paid
B20053,C2494,2615,2024-04-19,Pending
B20054,C0219,3976,2024-12-20,Paid
B20055,C2643,2776,2024-06-22,Unpaid
B20056,C1816,2593,2024-05-29,Unpaid
B20057,C2858,2932,2023-07-18,Pending
B20058,C1557,3397,2024-05-12,Paid
B20059,C0887,2599,2024-08-15,Unpaid
B20060,C2085,779,2023-09-05,Unpaid
B20061,C1606,2402,2024-01-18,Unpaid
B20062,C1327,4783,2024-03-18,Pending
B20063,C0564,3954,2025-03-19,Paid
B20064,C2945,2864,2023-10-13,Paid
B20065,C2111,4450,2025-01-29,Paid
B20066,C3077,3854,2024-10-17,Unpaid
B20067,C1939,596,2023-11-25,Paid
B20068,C1156,4840,2023-10-12,Paid
B20069,C2942,1636,2024-08-21,Pending
B20070,C0980,2378,2023-08-25,Paid
B20071,C1462,3601,2023-09-04,Unpaid
B20072,C1745,2981,2023-09-23,Pending
B20073,C1343,155,2023-08-23,Unpaid
B20074,C1772,4158,2024-03-19,Paid
B20075,C1652,1848,2024-11-18,Unpaid
B20076,C2962,451,2025-01-14,Pending
B20077,C0700,957,2024-06-12,Unpaid
B20078,C1135,585,2024-12-30,Unpaid
B20079,C1856,150,2024-05-01,Unpaid
B20080,C0005,4297,2024-10-21,Paid
B20081,C1059,3299,2025-05-04,Pending
B20082,C2490,4858,2024-03-17,Pending
B20083,C3454,885,2025-05-11,Pending
B20084,C3316,2656,2024-01-31,Unpaid
B20085,C0716,3498,2023-06-19,Unpaid
B20086,C1368,1133,2025-01-12,Pending
