callID,customerID,planID,callDate,durationMin,callType
CA10001,C0055,PL0457,2023-08-22,3,ISD
CA10002,C1214,PL0841,2023-12-14,19,ISD
CA10003,C0177,PL0318,2024-02-03,26,ISD
CA10004,C3470,PL0750,2024-12-23,17,ISD
CA10005,C0843,PL0768,2024-08-21,39,STD
CA10006,C0582,PL0982,2024-11-02,25,STD
CA10007,C2689,PL0327,2023-10-27,39,STD
CA10008,C3057,PL0455,2024-07-05,50,ISD
CA10009,C0088,PL0211,2023-09-24,29,ISD
CA10010,C0301,PL0757,2024-05-19,38,STD
CA10011,C0393,PL0146,2025-02-12,59,ISD
CA10012,C1258,PL0741,2025-03-22,26,STD
CA10013,C1890,PL0285,2024-11-08,54,Local
CA10014,C3063,PL0763,2023-08-29,44,ISD
CA10015,C0067,PL0970,2024-05-01,40,ISD
CA10016,C1679,PL0458,2024-01-21,52,ISD
CA10017,C1474,PL0404,2023-10-16,35,Local
CA10018,C2018,PL0515,2023-06-22,31,ISD
CA10019,C2185,PL0743,2023-06-19,43,STD
CA10020,C2040,PL0220,2024-04-16,55,Local
CA10021,C1392,PL0409,2024-10-02,4,Local
CA10022,C2162,PL0613,2024-01-15,18,STD
CA10023,C0030,PL0726,2024-11-02,25,Local
CA10024,C0895,PL0306,2024-04-01,9,ISD
CA10025,C1843,PL0841,2023-10-07,43,ISD
CA10026,C0628,PL0162,2023-09-29,35,ISD
CA10027,C3351,PL0877,2024-07-18,44,STD
CA10028,C1306,PL0720,2023-11-09,58,ISD
CA10029,C0046,PL0991,2025-05-20,46,STD
CA10030,C2459,PL0183,2023-07-30,41,ISD
CA10031,C1313,PL0581,2023-07-19,20,Local
CA10032,C0181,PL0770,2023-08-06,55,STD
CA10033,C0180,PL0400,2025-02-17,53,STD
CA10034,C1359,PL0048,2024-09-01,43,ISD
CA10035,C3286,PL0185,2023-09-04,12,STD
CA10036,C1367,PL0940,2024-05-17,39,STD
CA10037,C0580,PL0088,2024-11-26,25,STD
CA10038,C0442,PL0429,2023-11-05,13,STD
CA10039,C0207,PL0066,2025-01-20,31,Local
CA10040,C1446,PL0348,2023-11-08,33,ISD
CA10041,C0176,PL0836,2024-05-22,48,STD
CA10042,C0149,PL0316,2024-05-24,24,ISD
CA10043,C1050,PL0321,2024-01-03,46,Local
CA10044,C0204,PL0158,2023-07-27,1,STD
CA10045,C3240,PL0998,2025-05-27,8,ISD
CA10046,C3313,PL0375,2023-06-23,53,ISD
CA10047,C3007,PL0650,2024-09-16,25,ISD
CA10048,C0506,PL0616,2023-11-28,52,Local
CA10049,C3101,PL0135,2025-02-11,59,ISD
CA10050,C0593,PL0912,2024-11-05,57,STD
CA10051,C0147,PL0211,2023-10-05,47,Local
CA10052,C0650,PL0519,2024-12-17,31,ISD
CA10053,C0606,PL0222,2025-02-21,32,STD
CA10054,C3265,PL0952,2023-08-04,28,Local
CA10055,C2254,PL0340,2023-11-29,49,STD
CA10056,C0083,PL0854,2025-04-13,3,STD
CA10057,C2323,PL0404,2024-08-28,40,Local
CA10058,C0579,PL0161,2023-12-10,53,ISD
CA10059,C2226,PL0338,2024-07-19,1,ISD
CA10060,C2610,PL0030,2024-06-06,20,ISD
CA10061,C1649,PL0758,2023-09-30,21,STD
CA10062,C1111,PL0156,2025-01-30,57,STD
CA10063,C3347,PL0596,2024-09-29,4,STD
CA10064,C1982,PL0826,2025-05-01,8,Local
CA10065,C1140,PL0273,2024-03-27,22,Local
CA10066,C1031,PL0107,2025-04-05,4,STD
CA10067,C2760,PL0065,2023-09-06,60,ISD
CA10068,C2167,PL0553,2023-10-01,46,STD
CA10069,C3455,PL0263,2024-01-21,43,STD
CA10070,C2069,PL0231,2025-05-04,38,ISD
CA10071,C2768,PL0167,2024-08-23,42,STD
CA10072,C1972,PL0635,2024-02-09,1,Local
CA10073,C0246,PL0098,2024-03-26,14,ISD
CA10074,C2805,PL0138,2025-05-17,6,Local
CA10075,C1318,PL0898,2024-10-06,10,Local
CA10076,C0352,PL0168,2023-07-19,2,ISD
CA10077,C2558,PL0294,2023-07-13,52,Local
CA10078,C2314,PL0767,2024-10-24,17,STD
CA10079,C0087,PL0695,2023-09-02,15,STD
CA10080,C3245,PL0760,2023-10-26,43,ISD
CA10081,C1187,PL0277,2025-01-21,34,ISD
CA10082,C3233,PL0058,2025-04-14,13,ISD
CA10083,C2026,PL0850,2023-07-21,2,ISD
CA10084,C2941,PL0294,2024-08-06,58,STD
CA10085,C0001,PL0509,2024-09-30,52,Local
CA10086,C0172,PL0905,2025-06-01,58,STD
CA10087,C2429,PL0695,2024-05-26,36,ISD
CA10088,C0398,PL0431,2024-02-02,1,ISD
CA10089,C1554,PL0186,2025-01-30,5,ISD
CA10090,C0575,PL0771,2023-08-24,18,STD
CA10091,C0824,PL0438,2024-02-01,24,ISD
CA10092,C2191,PL0238,2023-10-14,42,Local
CA10093,C1532,PL0555,2023-09-07,48,ISD
CA10094,C2232,PL0713,2024-03-22,38,Local
CA10095,C0064,PL0785,2025-03-28,22,STD
CA10096,C3384,PL0870,2024-07-19,15,STD
CA10097,C2323,PL0578,2025-02-24,23,ISD
CA10098,C0836,PL0003,2024-07-03,48,ISD
CA10099,C1856,PL0903,2024-03-30,23,ISD
CA10100,C0044,PL0721,2024-10-26,26,Local
CA10101,C2765,PL0877,2025-02-05,58,Local
CA10102,C1417,PL0598,2023-12-15,15,STD
CA10103,C0187,PL0101,2024-12-24,37,STD
CA10104,C1145,PL0456,2024-02-01,40,STD
CA10105,C2788,PL0768,2025-02-01,54,ISD
CA10106,C1658,PL0415,2024-10-28,3,STD
CA10107,C0138,PL0616,2024-03-03,29,STD
CA10108,C2737,PL0007,2023-12-08,9,ISD
CA10109,C1592,PL0458,2025-01-17,45,ISD
CA10110,C2120,PL0503,2024-05-18,23,Local
CA10111,C1311,PL0630,2023-12-18,3,STD
CA10112,C1922,PL0348,2024-04-07,58,Local
CA10113,C0576,PL0849,2024-11-17,2,STD
CA10114,C0722,PL0994,2024-05-13,57,ISD
CA10115,C1969,PL0124,2023-09-07,17,Local
CA10116,C3051,PL0141,2024-11-17,43,ISD
CA10117,C3353,PL0881,2025-04-13,56,Local
CA10118,C2747,PL0512,2024-09-03,18,STD
CA10119,C0911,PL0541,2024-07-28,35,Local
CA10120,C3011,PL0494,2023-07-31,34,STD
CA10121,C1598,PL0978,2024-12-20,10,ISD
CA10122,C2488,PL0307,2023-08-28,22,ISD
CA10123,C0448,PL0202,2025-03-03,52,ISD
CA10124,C2845,PL0255,2023-07-02,26,Local
CA10125,C1425,PL0649,2024-02-26,3,STD
CA10126,C2084,PL0398,2024-01-30,59,STD
CA10127,C3324,PL0795,2023-08-21,58,Local
CA10128,C3187,PL0487,2024-09-27,12,ISD
CA10129,C1248,PL0571,2025-06-06,16,ISD
CA10130,C3027,PL0621,2025-05-29,14,STD
CA10131,C0050,PL0456,2023-09-17,58,STD
CA10132,C2040,PL0929,2023-11-17,26,ISD
CA10133,C0688,PL0543,2025-02-18,33,STD
CA10134,C0448,PL0124,2025-04-20,28,ISD
CA10135,C1677,PL0031,2025-06-01,56,STD
CA10136,C0194,PL0309,2024-02-12,60,ISD
CA10137,C1913,PL0469,2024-11-19,55,ISD
CA10138,C3432,PL0669,2023-12-05,8,STD
CA10139,C0227,PL0705,2024-06-04,39,ISD
CA10140,C1953,PL0774,2024-03-28,27,STD
CA10141,C0302,PL0274,2024-05-08,44,STD
CA10142,C0846,PL0769,2023-11-21,51,Local
CA10143,C3111,PL0980,2025-05-27,26,Local
CA10144,C1263,PL0711,2023-11-07,47,Local
CA10145,C3497,PL0222,2025-05-08,48,ISD
CA10146,C0388,PL0555,2024-11-06,33,Local
CA10147,C0607,PL0619,2024-06-21,9,ISD
CA10148,C0140,PL0381,2024-10-07,48,ISD
CA10149,C2886,PL0912,2024-06-02,9,STD
CA10150,C3362,PL0565,2024-08-04,32,Local
CA10151,C2225,PL0723,2024-06-23,6,STD
CA10152,C2571,PL0968,2025-04-18,49,Local
CA10153,C3015,PL0473,2024-03-24,57,ISD
CA10154,C0209,PL0593,2023-07-24,4,Local
CA10155,C1903,PL0035,2025-04-12,20,ISD
CA10156,C3033,PL0885,2025-01-14,48,STD
