shipmentID,vehicleID,driverID,routeID,date,status
SH10001,V0169,DR0066,R025,2023-06-22,In Transit
SH10002,V0299,DR0063,R178,2024-03-28,In Transit
SH10003,V0427,DR0039,R087,2023-11-08,Cancelled
SH10004,V0348,DR0046,R162,2023-10-27,In Transit
SH10005,V0237,DR0276,R107,2023-07-09,In Transit
SH10006,V0197,DR0239,R159,2024-05-17,Cancelled
SH10007,V0131,DR0063,R169,2023-08-12,In Transit
SH10008,V0288,DR0169,R020,2023-09-02,Delayed
SH10009,V0019,DR0238,R159,2025-05-07,Delayed
SH10010,V0051,DR0056,R079,2023-10-27,In Transit
SH10011,V0379,DR0215,R196,2025-01-16,In Transit
SH10012,V0223,DR0296,R083,2024-05-23,Cancelled
SH10013,V0064,DR0065,R113,2024-07-20,Cancelled
SH10014,V0079,DR0170,R164,2024-01-30,In Transit
SH10015,V0472,DR0187,R116,2025-05-05,Delayed
SH10016,V0381,DR0291,R195,2025-04-04,In Transit
SH10017,V0022,DR0242,R082,2023-08-29,Delayed
SH10018,V0116,DR0233,R127,2023-10-17,In Transit
SH10019,V0477,DR0213,R149,2024-11-06,In Transit
SH10020,V0032,DR0124,R196,2023-11-21,Cancelled
SH10021,V0197,DR0264,R084,2024-09-29,Cancelled
SH10022,V0353,DR0075,R139,2023-10-11,Delivered
SH10023,V0389,DR0095,R025,2024-05-06,Delivered
SH10024,V0195,DR0230,R043,2024-11-16,Cancelled
SH10025,V0222,DR0112,R043,2024-09-30,In Transit
SH10026,V0189,DR0231,R164,2023-11-24,Delayed
SH10027,V0373,DR0278,R102,2024-08-30,In Transit
SH10028,V0357,DR0068,R146,2023-09-01,Delivered
SH10029,V0395,DR0016,R128,2024-01-29,In Transit
SH10030,V0470,DR0204,R015,2024-04-26,Delayed
SH10031,V0073,DR0115,R014,2024-05-11,In Transit
SH10032,V0277,DR0217,R194,2024-09-13,Delayed
SH10033,V0217,DR0053,R142,2025-03-09,In Transit
SH10034,V0183,DR0295,R161,2024-08-23,Delivered
SH10035,V0413,DR0098,R032,2024-08-25,Delayed
SH10036,V0497,DR0013,R040,2024-07-23,Cancelled
SH10037,V0309,DR0045,R192,2025-03-24,Delivered
SH10038,V0093,DR0259,R182,2023-12-11,Delayed
SH10039,V0260,DR0071,R050,2023-11-03,In Transit
SH10040,V0050,DR0045,R065,2024-08-27,In Transit
SH10041,V0461,DR0235,R043,2025-03-02,Cancelled
SH10042,V0468,DR0231,R188,2025-04-03,Cancelled
SH10043,V0375,DR0284,R047,2023-07-13,In Transit
SH10044,V0326,DR0134,R084,2024-02-14,In Transit
SH10045,V0458,DR0163,R074,2023-07-22,Cancelled
SH10046,V0054,DR0243,R085,2024-06-03,In Transit
SH10047,V0358,DR0250,R093,2024-03-17,Delayed
SH10048,V0376,DR0272,R018,2024-08-31,In Transit
SH10049,V0348,DR0002,R158,2024-01-24,In Transit
SH10050,V0331,DR0085,R047,2024-12-04,In Transit
SH10051,V0400,DR0092,R012,2024-04-06,In Transit
SH10052,V0088,DR0233,R099,2024-12-21,Delayed
SH10053,V0214,DR0056,R170,2025-06-05,Delayed
SH10054,V0321,DR0220,R037,2023-12-07,Cancelled
SH10055,V0047,DR0204,R121,2023-09-21,Delivered
SH10056,V0350,DR0280,R064,2023-09-13,Delivered
SH10057,V0163,DR0118,R122,2025-04-04,Delivered
SH10058,V0422,DR0155,R063,2023-09-15,In Transit
SH10059,V0202,DR0045,R036,2024-08-11,Cancelled
SH10060,V0211,DR0269,R157,2025-05-02,In Transit
SH10061,V0333,DR0280,R016,2024-07-19,Delivered
SH10062,V0172,DR0108,R073,2025-05-29,Delivered
SH10063,V0377,DR0233,R099,2023-08-19,Delayed
SH10064,V0410,DR0045,R022,2024-10-10,Cancelled
SH10065,V0196,DR0234,R164,2024-03-20,Delivered
SH10066,V0436,DR0260,R010,2025-05-20,Cancelled
SH10067,V0306,DR0157,R075,2024-03-27,Delayed
SH10068,V0211,DR0105,R033,2023-12-24,Delayed
SH10069,V0040,DR0015,R163,2025-04-21,In Transit
SH10070,V0396,DR0193,R158,2023-08-13,Delivered
