orderID,customerID,productID,orderDate,quantity,orderStatus
O10001,C0699,PR01994,2025-03-22,60,Cancelled
O10002,C0379,PR00572,2024-07-14,67,Pending
O10003,C1849,PR02387,2023-10-18,38,Cancelled
O10004,C1228,PR00743,2022-08-12,98,Shipped
O10005,C0534,PR02049,2023-09-02,37,Delivered
O10006,C1116,PR01579,2023-07-14,18,Pending
O10007,C1954,PR01388,2023-10-20,15,Pending
O10008,C1351,PR01846,2022-07-19,4,Cancelled
O10009,C1432,PR01490,2023-08-20,23,Delivered
O10010,C1393,PR00869,2023-11-07,81,Cancelled
O10011,C1211,PR02667,2024-03-25,69,Shipped
O10012,C1526,PR02138,2025-03-31,57,Delivered
O10013,C0014,PR00587,2024-05-23,96,Cancelled
O10014,C1560,PR00123,2025-05-30,62,Cancelled
O10015,C0576,PR00846,2022-10-31,46,Pending
O10016,C0648,PR00103,2023-05-21,97,Delivered
O10017,C1855,PR00570,2022-12-10,93,Cancelled
O10018,C0790,PR02035,2025-03-29,74,Cancelled
O10019,C0088,PR01304,2023-11-16,92,Delivered
O10020,C0271,PR01874,2023-08-24,38,Cancelled
O10021,C1042,PR00927,2023-03-14,58,Shipped
O10022,C1739,PR02059,2023-02-07,48,Delivered
O10023,C1559,PR00458,2023-04-28,16,Pending
O10024,C1446,PR02389,2022-10-09,44,Pending
O10025,C1696,PR02163,2024-07-03,23,Cancelled
O10026,C1613,PR02413,2022-12-09,12,Delivered
O10027,C1342,PR02275,2023-04-11,68,Cancelled
O10028,C0002,PR02742,2024-05-10,33,Delivered
O10029,C1099,PR01784,2023-07-02,28,Pending
O10030,C1540,PR01576,2024-09-27,26,Delivered
O10031,C1672,PR01152,2024-08-12,58,Pending
O10032,C0439,PR02046,2023-12-27,25,Delivered
O10033,C1959,PR00589,2023-12-23,61,Delivered
O10034,C1549,PR00499,2023-06-04,44,Delivered
O10035,C0634,PR00957,2023-03-08,27,Pending
O10036,C1412,PR00113,2025-05-21,84,Pending
O10037,C1709,PR00802,2024-08-05,89,Delivered
O10038,C0252,PR01562,2024-11-26,75,Cancelled
O10039,C1404,PR00053,2025-04-07,77,Cancelled
O10040,C0687,PR01996,2023-10-03,26,Pending
O10041,C0253,PR01979,2022-06-27,77,Delivered
O10042,C0857,PR02274,2023-10-25,68,Pending
O10043,C1869,PR00443,2023-07-31,18,Delivered
O10044,C1358,PR02729,2024-09-06,14,Shipped
O10045,C0277,PR01748,2022-11-15,67,Pending
O10046,C1372,PR02999,2023-03-29,39,Shipped
O10047,C0911,PR00493,2023-08-29,97,Shipped
O10048,C0001,PR01701,2022-10-11,66,Shipped
O10049,C0320,PR01948,2022-09-26,100,Cancelled
O10050,C1826,PR00445,2025-01-23,68,Shipped
O10051,C1547,PR00032,2024-09-19,49,Pending
O10052,C1001,PR02010,2022-11-30,87,Pending
O10053,C0408,PR00258,2022-11-06,94,Shipped
O10054,C0389,PR01698,2023-04-06,14,Delivered
O10055,C0951,PR00182,2024-03-05,28,Cancelled
O10056,C1325,PR00719,2024-08-22,27,Pending
O10057,C1488,PR00260,2024-10-20,81,Delivered
O10058,C0624,PR00518,2024-10-15,57,Shipped
O10059,C1990,PR02539,2023-03-28,96,Cancelled
O10060,C0798,PR01611,2022-11-12,97,Pending
O10061,C0793,PR01419,2024-04-20,27,Cancelled
O10062,C1970,PR00877,2025-04-30,84,Delivered
O10063,C0382,PR00234,2023-08-25,33,Shipped
O10064,C1110,PR02419,2023-12-26,65,Delivered
O10065,C0624,PR02351,2023-12-17,94,Delivered
O10066,C1515,PR02032,2025-03-13,35,Shipped
O10067,C0147,PR02670,2023-01-01,13,Cancelled
O10068,C0534,PR01727,2024-02-04,39,Delivered
O10069,C1413,PR02963,2023-01-07,64,Delivered
O10070,C1129,PR02070,2023-09-17,17,Cancelled
O10071,C0572,PR00253,2023-09-14,98,Cancelled
O10072,C1824,PR01675,2024-01-14,49,Cancelled
O10073,C0197,PR02837,2023-09-08,61,Shipped
O10074,C1433,PR01842,2024-06-03,99,Cancelled
O10075,C0172,PR00521,2022-06-19,38,Cancelled
O10076,C0139,PR02712,2024-06-04,46,Shipped
O10077,C1596,PR02402,2024-10-13,62,Delivered
O10078,C0861,PR02443,2024-04-09,40,Cancelled
O10079,C1649,PR00476,2024-08-13,99,Pending
O10080,C1399,PR00842,2023-06-18,1,Shipped
O10081,C0853,PR02880,2024-08-05,6,Delivered
O10082,C0904,PR01577,2024-02-03,21,Pending
O10083,C1977,PR01371,2023-07-04,43,Cancelled
O10084,C1710,PR00680,2024-08-07,4,Shipped
O10085,C0288,PR00531,2023-06-18,84,Cancelled
O10086,C0620,PR00274,2023-03-06,28,Shipped
O10087,C1057,PR00516,2022-07-22,69,Pending
O10088,C0257,PR02672,2024-10-15,53,Cancelled
O10089,C0785,PR00762,2024-04-17,27,Pending
O10090,C0655,PR01222,2023-10-05,44,Pending
O10091,C0079,PR00079,2023-05-29,63,Pending
O10092,C0672,PR01828,2025-02-14,16,Shipped
O10093,C0959,PR02422,2024-03-26,44,Cancelled
O10094,C0740,PR00925,2022-12-01,10,Delivered
O10095,C0166,PR00473,2024-06-22,14,Pending
O10096,C0276,PR02884,2024-08-28,2,Shipped
O10097,C1501,PR00396,2024-10-12,27,Cancelled
O10098,C1092,PR02240,2023-12-28,91,Delivered
O10099,C0674,PR01063,2023-01-20,66,Shipped
O10100,C1592,PR02483,2023-10-29,46,Delivered
O10101,C1075,PR02558,2023-09-06,2,Pending
O10102,C1827,PR00161,2024-07-16,46,Shipped
O10103,C0932,PR01714,2022-10-30,48,Delivered
O10104,C0904,PR00592,2024-10-25,87,Shipped
O10105,C0125,PR02894,2023-07-05,83,Cancelled
O10106,C0751,PR01537,2024-10-11,82,Pending
O10107,C0994,PR01095,2023-04-04,40,Pending
O10108,C0683,PR02910,2023-01-27,25,Pending
O10109,C1272,PR00039,2023-06-25,59,Delivered
O10110,C1634,PR01243,2022-12-30,80,Pending
O10111,C0144,PR00073,2024-11-19,57,Shipped
O10112,C1476,PR01926,2023-07-12,69,Cancelled
O10113,C1906,PR00829,2023-07-18,33,Shipped
O10114,C1460,PR00037,2024-11-23,82,Delivered
O10115,C0623,PR00931,2023-08-21,90,Cancelled
O10116,C0295,PR00749,2023-09-13,25,Cancelled
O10117,C0971,PR01780,2025-02-22,76,Cancelled
O10118,C1586,PR01261,2023-12-26,25,Delivered
O10119,C1281,PR01423,2024-07-18,3,Shipped
O10120,C0590,PR01786,2024-08-17,63,Shipped
O10121,C0734,PR02097,2022-08-21,25,Pending
O10122,C0119,PR00400,2025-02-17,64,Pending
O10123,C0568,PR01811,2024-05-09,73,Delivered
O10124,C0552,PR02632,2023-04-05,100,Pending
O10125,C0113,PR00892,2025-05-17,4,Delivered
O10126,C0798,PR02341,2025-05-31,10,Pending
O10127,C0047,PR02437,2024-01-10,46,Shipped
O10128,C1601,PR00574,2023-07-06,10,Pending
O10129,C1301,PR01782,2022-07-12,46,Pending
O10130,C0456,PR02816,2024-12-06,7,Pending
O10131,C0671,PR00890,2024-05-14,56,Pending
O10132,C1200,PR00015,2024-05-18,82,Cancelled
O10133,C1564,PR00104,2022-12-21,94,Pending
O10134,C0392,PR00293,2023-01-30,16,Cancelled
O10135,C1035,PR02961,2022-09-23,31,Cancelled
O10136,C0579,PR01926,2022-08-17,65,Pending
O10137,C0036,PR00449,2024-04-27,61,Shipped
O10138,C1664,PR00848,2025-01-02,97,Cancelled
O10139,C1827,PR02334,2023-07-19,98,Cancelled
O10140,C0383,PR02486,2025-06-15,64,Shipped
O10141,C0566,PR02824,2023-03-27,79,Shipped
O10142,C1551,PR01698,2025-01-12,67,Cancelled
O10143,C1858,PR01318,2024-12-28,9,Shipped
O10144,C1797,PR02568,2022-08-27,45,Shipped
O10145,C0539,PR02387,2023-12-01,40,Cancelled
O10146,C0316,PR00263,2024-07-15,75,Delivered
O10147,C0758,PR02676,2022-12-17,57,Pending
O10148,C0269,PR02228,2023-03-04,42,Pending
O10149,C1371,PR01069,2023-01-04,57,Shipped
O10150,C0101,PR00898,2024-09-09,35,Cancelled
O10151,C0927,PR02981,2024-07-03,85,Shipped
O10152,C0285,PR02699,2024-11-26,41,Shipped
O10153,C0580,PR02922,2024-03-22,58,Delivered
O10154,C0595,PR02393,2023-04-12,83,Cancelled
O10155,C1108,PR00421,2023-08-13,50,Pending
O10156,C0126,PR00194,2022-07-20,6,Pending
O10157,C0475,PR02343,2025-03-21,30,Pending
O10158,C0729,PR00440,2023-04-30,55,Pending
O10159,C0649,PR01178,2025-06-06,32,Delivered
O10160,C1342,PR00485,2023-03-07,49,Cancelled
O10161,C1255,PR02046,2024-04-25,95,Delivered
O10162,C1076,PR01795,2023-02-05,77,Delivered
O10163,C1161,PR01536,2024-07-13,21,Delivered
O10164,C1717,PR02095,2024-05-11,93,Pending
O10165,C1990,PR01237,2023-10-11,14,Delivered
O10166,C0894,PR00103,2023-05-25,5,Delivered
O10167,C1837,PR01242,2023-03-10,6,Delivered
O10168,C1209,PR00328,2023-01-20,72,Shipped
O10169,C1857,PR02680,2023-07-15,63,Cancelled
O10170,C0480,PR01319,2025-03-16,5,Shipped
O10171,C1334,PR00405,2023-11-15,77,Shipped
O10172,C0391,PR02729,2022-06-20,38,Delivered
O10173,C0418,PR01017,2023-03-27,38,Pending
O10174,C0616,PR02079,2022-12-17,71,Shipped
O10175,C1025,PR00362,2023-11-14,47,Cancelled
O10176,C1315,PR02798,2024-09-02,51,Shipped
O10177,C0380,PR01088,2023-04-16,66,Delivered
O10178,C0013,PR00187,2023-04-06,60,Shipped
O10179,C0768,PR02230,2024-12-17,7,Shipped
O10180,C0474,PR00069,2024-10-04,65,Shipped
O10181,C0283,PR00688,2022-08-13,4,Pending
O10182,C0768,PR01107,2022-12-14,27,Cancelled
O10183,C0945,PR02583,2024-12-08,47,Delivered
O10184,C1310,PR01969,2023-07-16,93,Shipped
O10185,C1619,PR00434,2024-04-25,22,Delivered
O10186,C1247,PR02255,2024-06-21,45,Shipped
O10187,C0873,PR02145,2025-04-29,84,Shipped
O10188,C0826,PR00481,2025-01-25,87,Delivered
O10189,C0137,PR00903,2022-08-13,8,Delivered
O10190,C1982,PR00022,2025-04-27,47,Pending
O10191,C0132,PR02807,2022-06-28,93,Shipped
O10192,C0906,PR02178,2022-10-01,32,Pending
O10193,C0721,PR02168,2024-01-31,41,Shipped
O10194,C1552,PR00675,2025-05-08,47,Shipped
O10195,C1859,PR00087,2023-12-22,82,Delivered
O10196,C1461,PR01348,2025-05-16,70,Delivered
O10197,C0977,PR02226,2024-01-30,72,Delivered
O10198,C0586,PR02119,2025-06-12,42,Delivered
O10199,C1168,PR00665,2024-04-26,7,Delivered
O10200,C1118,PR00952,2025-06-11,95,Shipped
O10201,C1147,PR02296,2023-08-20,35,Pending
O10202,C0004,PR00929,2023-10-14,58,Pending
O10203,C1628,PR02480,2023-08-10,50,Shipped
O10204,C1929,PR02146,2023-01-30,33,Cancelled
O10205,C0646,PR02776,2024-04-20,10,Delivered
O10206,C0403,PR00355,2025-02-13,40,Pending
O10207,C0502,PR01310,2024-10-24,88,Shipped
O10208,C0377,PR01679,2024-11-14,89,Shipped
O10209,C1279,PR01994,2024-03-10,7,Pending
O10210,C1779,PR01398,2022-10-08,60,Shipped
