paymentID,policyID,amount,paymentDate,method,status
PAY30001,P10223,2363,2020-09-30,Bank Transfer,Failed
PAY30002,P14661,1853,2025-02-07,Credit,Failed
PAY30003,P11332,1507,2023-05-05,Bank Transfer,Success
PAY30004,P15113,4535,2023-03-21,Bank Transfer,Failed
PAY30005,P13915,581,2022-07-29,Credit,Failed
PAY30006,P10902,2993,2024-02-09,Bank Transfer,Success
PAY30007,P14147,2124,2023-05-27,Bank Transfer,Success
PAY30008,P12984,4248,2021-11-24,Debit,Success
PAY30009,P16046,2459,2023-04-13,Credit,Failed
PAY30010,P10342,377,2023-04-09,Credit,Failed
PAY30011,P15326,1126,2022-02-24,Bank Transfer,Failed
PAY30012,P11585,4011,2021-05-03,Debit,Failed
PAY30013,P15861,758,2022-09-27,Debit,Success
PAY30014,P12664,2693,2024-10-26,Bank Transfer,Failed
PAY30015,P11433,2261,2022-10-07,Credit,Failed
PAY30016,P17578,1082,2024-06-10,Credit,Success
PAY30017,P11690,420,2022-04-06,Credit,Success
PAY30018,P17705,4192,2024-02-02,Debit,Success
PAY30019,P11929,4655,2024-02-14,Debit,Failed
PAY30020,P13836,3725,2022-02-12,Bank Transfer,Failed
PAY30021,P12808,1019,2022-06-21,Debit,Success
PAY30022,P10662,2620,2024-11-26,Credit,Failed
PAY30023,P17114,1172,2020-08-26,Debit,Success
PAY30024,P14247,3690,2024-04-22,Debit,Failed
PAY30025,P17762,2154,2020-11-10,Credit,Success
PAY30026,P15710,1765,2024-11-05,Bank Transfer,Success
PAY30027,P12413,514,2021-12-17,Credit,Failed
PAY30028,P10269,476,2021-08-19,Credit,Success
PAY30029,P15010,1119,2021-02-16,Debit,Success
PAY30030,P11846,1784,2023-04-18,Bank Transfer,Failed
PAY30031,P11806,967,2020-10-10,Debit,Failed
PAY30032,P16008,4902,2024-12-28,Credit,Failed
PAY30033,P17985,2668,2021-01-19,Bank Transfer,Failed
PAY30034,P17318,879,2021-06-08,Credit,Success
PAY30035,P14815,2883,2022-06-28,Credit,Failed
PAY30036,P17541,3379,2024-12-14,Debit,Failed
PAY30037,P12965,4514,2024-04-20,Credit,Failed
PAY30038,P10323,3662,2022-03-11,Bank Transfer,Failed
PAY30039,P10996,1697,2023-06-21,Credit,Failed
PAY30040,P10832,1398,2022-01-30,Bank Transfer,Failed
PAY30041,P15163,671,2024-02-24,Credit,Success
PAY30042,P12324,966,2022-04-26,Credit,Success
PAY30043,P15711,2274,2024-07-17,Debit,Failed
PAY30044,P15713,3132,2020-12-11,Credit,Failed
PAY30045,P17843,2498,2024-03-15,Debit,Success
PAY30046,P16170,4699,2025-02-01,Bank Transfer,Failed
PAY30047,P15165,2710,2022-10-18,Debit,Success
PAY30048,P12760,2717,2021-04-16,Credit,Failed
PAY30049,P11445,4392,2021-09-28,Bank Transfer,Success
PAY30050,P14592,1353,2024-07-02,Debit,Success
PAY30051,P11961,3657,2025-03-12,Debit,Failed
PAY30052,P15375,1433,2023-08-28,Debit,Failed
PAY30053,P13536,877,2020-11-06,Credit,Success
PAY30054,P17422,1137,2020-08-01,Debit,Failed
PAY30055,P11091,354,2021-04-10,Credit,Success
PAY30056,P17784,2000,2024-03-27,Debit,Success
PAY30057,P14881,2659,2025-03-11,Debit,Success
PAY30058,P13618,2753,2023-09-13,Debit,Failed
PAY30059,P13612,2539,2022-02-09,Bank Transfer,Failed
PAY30060,P15279,4983,2024-05-08,Credit,Success
PAY30061,P15747,692,2020-12-29,Debit,Success
PAY30062,P14944,1954,2022-10-10,Debit,Failed
PAY30063,P15008,615,2022-07-09,Bank Transfer,Success
PAY30064,P12432,3559,2020-08-03,Debit,Success
PAY30065,P17706,1491,2024-01-01,Debit,Failed
PAY30066,P13416,1760,2023-09-21,Debit,Failed
PAY30067,P13069,2138,2023-02-05,Credit,Failed
PAY30068,P17827,4093,2025-03-19,Debit,Success
PAY30069,P14529,2912,2021-10-10,Bank Transfer,Success
PAY30070,P17991,3900,2022-01-11,Debit,Success
PAY30071,P13893,4222,2022-07-20,Bank Transfer,Success
PAY30072,P16975,2095,2024-08-29,Debit,Success
PAY30073,P13887,4565,2024-11-03,Debit,Success
PAY30074,P17902,4940,2023-06-16,Credit,Failed
PAY30075,P14123,4052,2024-06-17,Bank Transfer,Success
PAY30076,P13094,4708,2024-11-24,Credit,Success
PAY30077,P11331,3034,2023-08-23,Credit,Failed
PAY30078,P15995,685,2022-07-31,Credit,Success
PAY30079,P10766,3046,2022-12-04,Credit,Success
PAY30080,P14478,1562,2022-10-17,Debit,Success
PAY30081,P10072,3780,2024-02-26,Credit,Success
PAY30082,P16980,4268,2025-04-13,Credit,Success
PAY30083,P11400,1771,2021-05-16,Credit,Failed
PAY30084,P16584,1210,2021-01-14,Bank Transfer,Success
PAY30085,P14784,4910,2023-10-03,Debit,Success
PAY30086,P16416,2646,2024-07-28,Bank Transfer,Failed
PAY30087,P16552,4036,2024-10-17,Bank Transfer,Success
PAY30088,P11469,441,2021-08-02,Bank Transfer,Failed
PAY30089,P10268,4516,2024-03-10,Bank Transfer,Success
PAY30090,P10885,3982,2021-04-29,Debit,Failed
PAY30091,P15990,1775,2023-12-24,Credit,Failed
PAY30092,P11893,1760,2024-04-07,Debit,Failed
PAY30093,P16605,3751,2022-06-23,Credit,Success
