policyID,customerID,policyType,premium,issueDate,status,coverageAmount,agentID
P10001,C3449,Home,999,2022-07-01,Lapsed,364155,A487
P10002,C3979,Travel,1907,2025-01-29,Expired,369489,A293
P10003,C0806,Auto,1565,2024-10-06,Active,208086,A280
P10004,C1709,Health,3937,2021-02-04,Active,489034,A485
P10005,C0107,Travel,2849,2022-03-05,Active,364762,A428
P10006,C4867,Health,532,2022-01-09,Lapsed,281041,A356
P10007,C1353,Life,884,2020-09-02,Lapsed,417411,A007
P10008,C2190,Auto,2910,2023-12-12,Lapsed,72673,A452
P10009,C4871,Travel,2445,2024-12-15,Active,40172,A411
P10010,C4930,Home,1944,2021-11-04,Lapsed,111276,A462
P10011,C2158,Auto,1782,2023-04-06,Lapsed,226565,A370
P10012,C1368,Auto,2884,2021-06-24,Lapsed,467488,A478
P10013,C1916,Auto,1838,2021-03-24,Expired,109499,A008
P10014,C3056,Auto,3615,2023-10-28,Lapsed,155337,A054
P10015,C0984,Home,1981,2020-11-01,Active,264976,A071
P10016,C0467,Travel,4064,2025-03-29,Lapsed,134889,A361
P10017,C4956,Life,3687,2021-11-21,Expired,398177,A120
P10018,C2306,Travel,2692,2021-05-01,Expired,335166,A233
P10019,C0933,Home,1694,2022-08-15,Expired,18349,A063
P10020,C3175,Life,1701,2023-03-16,Expired,260251,A392
P10021,C3923,Auto,4563,2023-07-22,Expired,391275,A272
P10022,C1173,Health,1274,2024-03-30,Lapsed,104419,A374
P10023,C1509,Home,3743,2020-08-29,Lapsed,97448,A394
P10024,C2763,Life,301,2022-05-04,Lapsed,464421,A002
P10025,C4675,Auto,517,2022-09-27,Expired,48647,A238
P10026,C3883,Auto,3243,2024-02-09,Lapsed,293321,A008
P10027,C2612,Health,2788,2021-01-03,Lapsed,220765,A140
P10028,C2023,Travel,1124,2022-11-07,Active,370521,A050
P10029,C4723,Travel,1908,2021-12-06,Lapsed,161755,A049
P10030,C4147,Life,2272,2022-01-21,Lapsed,250450,A141
P10031,C0258,Home,501,2020-08-20,Expired,467607,A499
P10032,C2470,Travel,2397,2023-06-26,Lapsed,461841,A461
P10033,C3144,Health,509,2020-10-11,Active,496164,A438
P10034,C4707,Home,3793,2021-01-29,Expired,313928,A300
P10035,C3158,Auto,4845,2025-03-22,Expired,268012,A368
P10036,C4883,Travel,495,2021-12-31,Expired,295560,A016
P10037,C0373,Travel,4434,2022-10-24,Active,169923,A240
P10038,C3850,Home,1150,2020-10-13,Lapsed,243657,A366
P10039,C2046,Home,2463,2020-10-30,Active,164670,A497
P10040,C0645,Health,4480,2023-06-09,Active,344943,A425
P10041,C2805,Health,2909,2023-07-24,Lapsed,68496,A329
P10042,C0362,Life,4537,2023-05-31,Expired,75109,A311
P10043,C1644,Travel,3361,2021-04-17,Expired,319313,A210
P10044,C2493,Health,2411,2023-06-15,Lapsed,355720,A294
P10045,C2574,Auto,4911,2021-07-02,Active,186599,A295
P10046,C0917,Home,3731,2024-01-30,Expired,423738,A317
P10047,C2083,Health,4902,2021-04-02,Active,72406,A074
P10048,C2066,Health,2492,2023-01-22,Lapsed,388573,A467
P10049,C4704,Life,4724,2022-04-07,Expired,212302,A312
P10050,C0911,Travel,2314,2025-01-17,Active,101184,A266
P10051,C0908,Travel,4943,2023-10-23,Lapsed,166495,A244
P10052,C1823,Auto,2708,2022-06-14,Lapsed,267472,A011
P10053,C1122,Health,2548,2022-01-13,Expired,203332,A496
P10054,C4967,Auto,1923,2020-07-18,Expired,317070,A182
P10055,C2378,Life,1955,2020-12-15,Expired,463352,A414
P10056,C1104,Home,4119,2024-02-04,Active,25299,A072
P10057,C2588,Home,1472,2021-01-19,Lapsed,314641,A004
P10058,C3629,Life,4191,2021-03-17,Active,370879,A136
P10059,C2157,Health,2317,2021-12-31,Lapsed,453142,A070
P10060,C0571,Home,382,2025-01-06,Lapsed,132092,A043
P10061,C2537,Travel,4449,2023-06-04,Active,349514,A004
P10062,C3875,Health,3444,2024-01-23,Active,422722,A071
P10063,C4227,Travel,743,2022-08-22,Lapsed,70006,A210
P10064,C0785,Home,361,2022-09-26,Expired,22223,A053
P10065,C3039,Auto,2465,2022-06-03,Active,161224,A201
P10066,C3151,Auto,1629,2021-09-14,Lapsed,164319,A325
P10067,C0734,Auto,3691,2020-11-11,Lapsed,70254,A138
P10068,C3080,Auto,2952,2024-01-22,Expired,334312,A180
P10069,C4358,Auto,4216,2021-08-03,Lapsed,388060,A294
P10070,C2285,Auto,1289,2024-09-23,Expired,428487,A059
P10071,C4864,Travel,686,2023-12-26,Active,132993,A317
P10072,C4057,Health,4111,2025-04-27,Active,483564,A387
P10073,C1778,Health,1360,2021-06-09,Expired,268350,A382
P10074,C4448,Life,4047,2022-05-23,Expired,389789,A020
P10075,C0914,Travel,2025,2024-04-05,Expired,299350,A164
P10076,C3476,Life,4456,2022-05-22,Lapsed,133607,A157
P10077,C1925,Life,3183,2021-07-07,Expired,390242,A391
P10078,C0838,Home,2507,2022-05-07,Lapsed,317539,A250
P10079,C4061,Life,1083,2024-05-29,Active,461028,A283
P10080,C3720,Home,1368,2024-12-14,Lapsed,164955,A421
P10081,C1147,Life,2537,2025-02-17,Active,413023,A300
P10082,C4462,Auto,913,2022-06-10,Active,113360,A432
P10083,C4146,Travel,335,2022-05-18,Lapsed,88477,A365
P10084,C2631,Travel,4979,2021-07-28,Expired,290886,A380
P10085,C0689,Health,907,2023-09-16,Active,136953,A187
P10086,C0457,Travel,2766,2025-04-06,Expired,462099,A367
P10087,C1275,Travel,4876,2024-05-29,Expired,74118,A422
P10088,C3109,Auto,2821,2022-09-23,Expired,244918,A457
P10089,C1854,Travel,3810,2024-02-19,Active,67438,A089
P10090,C1396,Travel,3670,2021-03-30,Lapsed,240832,A093
P10091,C3919,Auto,2295,2022-06-09,Active,98633,A494
