shipmentID,orderID,shipDate,deliveryDate,carrier,status
SH20001,O17503,2024-01-10,2024-01-10,"Brock, Hill and Werner",Delivered
SH20002,O15641,2023-12-22,2023-12-22,"Fields, Adams and Tyler",Lost
SH20003,O17503,2023-11-11,2023-11-11,Ramirez Ltd,Delayed
SH20004,O10447,2023-06-28,2023-06-28,Riley-Hall,Lost
SH20005,O10317,2024-09-27,2024-09-27,Sims Group,Delayed
SH20006,O16403,2024-11-18,2024-11-18,Patterson-Porter,In Transit
SH20007,O16531,2025-06-09,2025-06-09,Wilson-Wilkinson,In Transit
SH20008,O12585,2024-10-05,2024-10-05,"Moore, Patton and Beasley",In Transit
SH20009,O13160,2024-04-16,2024-04-16,Daniels Inc,Delivered
SH20010,O17327,2024-01-26,,Owens Inc,Delivered
SH20011,O14713,2025-05-26,2025-05-26,Carpenter-Lewis,Delivered
SH20012,O14849,2024-03-03,2024-03-03,Mcdonald LLC,Lost
SH20013,O15715,2024-06-24,2024-06-24,Phillips-Mccoy,Delayed
SH20014,O11383,2025-03-14,2025-03-14,"Smith, Blackburn and Ortega",Lost
SH20015,O10678,2024-05-31,2024-05-31,Vaughan-Gaines,Lost
SH20016,O17898,2023-12-30,2023-12-30,Miller-Mccormick,Lost
SH20017,O16344,2024-08-18,2024-08-18,Bond-Walton,In Transit
SH20018,O16666,2024-06-16,2024-06-16,"Avery, Gibson and Dalton",Delivered
SH20019,O11248,2023-09-26,2023-09-26,Weber Ltd,Delivered
SH20020,O15572,2023-07-11,2023-07-11,Ruiz-Montes,In Transit
SH20021,O13713,2024-09-04,2024-09-04,Miller-Morales,Delivered
SH20022,O11536,2024-06-17,2024-06-17,"King, Perry and Torres",Delivered
SH20023,O10408,2024-02-07,2024-02-07,Patel-Anderson,Delivered
SH20024,O17587,2025-05-02,,"Robinson, Baker and Davis",Lost
SH20025,O12238,2024-01-22,2024-01-22,Leon-Ingram,In Transit
SH20026,O12024,2024-06-09,2024-06-09,"Jones, Powers and Leonard",In Transit
SH20027,O13762,2025-01-27,2025-01-27,Hall and Sons,Delivered
SH20028,O13368,2024-10-04,,Wallace Ltd,Delivered
SH20029,O11781,2024-03-28,2024-03-28,"Johnson, Andersen and Gonzalez",Delayed
