transactionID,accountID,amount,transactionDate,type,description
TX20001,A17712,-2043.51,2021-11-15,Payment,Police next dream.
TX20002,A10163,1685.24,2024-12-10,Transfer,Meet little evening ready.
TX20003,A12963,-3177.74,2021-11-24,Transfer,Now show what life.
TX20004,A18000,19384.28,2020-07-18,Withdrawal,Catch far nearly figure.
TX20005,A16418,19780.14,2023-04-15,Payment,People agency certainly low.
TX20006,A10770,17837.56,2023-10-23,Deposit,Close doctor.
TX20007,A10902,-2611.42,2022-12-03,Deposit,Success election past case relationship.
TX20008,A12507,-1240.04,2024-10-14,Deposit,Occur run.
TX20009,A13605,5848.51,2020-06-17,Withdrawal,Third sport across force open.
TX20010,A12669,11805.11,2023-12-31,Deposit,Offer resource computer.
TX20011,A14487,8279.93,2022-08-31,Deposit,Impact set staff black.
TX20012,A16378,9148.69,2024-11-09,Transfer,Call low first citizen.
TX20013,A14227,-4541.35,2020-10-11,Deposit,Hundred condition notice fight hope.
TX20014,A16927,1188.5,2024-07-16,Payment,Loss from door.
TX20015,A10779,7563.54,2024-10-12,Transfer,Tonight difference resource real.
TX20016,A15312,13055.77,2022-09-07,Transfer,Price ok Mrs ball.
TX20017,A14218,515.02,2025-04-04,Transfer,Law thing safe thousand.
TX20018,A15230,13279.35,2023-01-12,Payment,Fight middle box song.
TX20019,A11745,-99.55,2021-10-27,Payment,Us street probably mean couple.
TX20020,A14426,4810.3,2021-05-16,Transfer,Identify personal century.
TX20021,A13696,9875.96,2020-12-29,Withdrawal,Like first story writer practice.
TX20022,A17667,-1400.61,2023-07-25,Deposit,Sell student eat run.
TX20023,A13051,18445.23,2024-11-22,Withdrawal,Fine our walk history key.
TX20024,A12588,14774.31,2023-09-16,Payment,City policy my drop.
TX20025,A14756,2570.1,2022-10-21,Transfer,Evidence often.
TX20026,A13555,17428.48,2022-04-10,Deposit,Question western identify.
TX20027,A11912,3977.3,2022-11-15,Deposit,Service important situation.
TX20028,A15480,19588.68,2022-03-14,Deposit,Write why reason understand direction.
TX20029,A11081,-4870.95,2021-03-28,Transfer,Probably this your own.
TX20030,A11415,14789.93,2021-12-29,Withdrawal,Fine fine Mr go thousand.
TX20031,A16703,9186.68,2023-10-27,Deposit,Free event need garden.
TX20032,A13047,11243.89,2020-11-05,Payment,Couple single any ten newspaper.
TX20033,A12232,-1065.48,2023-06-17,Deposit,Answer house ever hot.
TX20034,A11483,2132.37,2024-08-22,Payment,Apply realize.
TX20035,A11096,12852.49,2021-10-13,Withdrawal,Role cultural fish with.
TX20036,A13732,18449.31,2021-03-03,Deposit,Card audience energy.
TX20037,A15033,18917.47,2022-10-23,Withdrawal,Near develop value.
TX20038,A11692,-1622.58,2023-12-30,Deposit,Exactly least.
TX20039,A11768,-2066.66,2025-01-27,Deposit,Kid human agree.
TX20040,A12153,-163.15,2022-02-17,Transfer,Term last and recently.
TX20041,A14046,18384.6,2024-04-10,Withdrawal,Space all despite clear.
TX20042,A14739,15752.83,2022-04-24,Transfer,Time none traditional test just.
TX20043,A11995,13181.89,2020-07-08,Deposit,Try expect enter.
TX20044,A15439,18130.4,2020-07-21,Deposit,Visit garden start.
TX20045,A11180,5738.99,2023-08-29,Deposit,Throughout suggest box.
TX20046,A10616,8381.2,2022-01-31,Withdrawal,Agreement would.
TX20047,A10592,15703.12,2023-08-19,Deposit,Television him drive player.
TX20048,A16359,13082.63,2024-07-19,Payment,Adult far third thousand.
TX20049,A15069,18386.52,2025-01-13,Payment,Or door.
TX20050,A11823,4926.78,2022-08-28,Transfer,Continue sing.
TX20051,A10309,1215.76,2024-11-03,Withdrawal,Example allow serious discover.
TX20052,A11964,43.41,2022-03-01,Payment,Mr under even white.
TX20053,A14660,-3752.32,2023-11-13,Withdrawal,Reach career community.
TX20054,A14447,13450.9,2023-07-07,Deposit,Party story clearly.
TX20055,A11291,597.95,2025-05-08,Withdrawal,Beat institution pattern see.
TX20056,A16774,7432.99,2020-08-25,Deposit,Up father key worker.
TX20057,A11963,9260.31,2022-04-05,Payment,Try different couple tough.
TX20058,A11945,3871.94,2022-09-28,Payment,Spring common campaign.
TX20059,A17676,12954.21,2021-11-19,Withdrawal,Likely half line.
TX20060,A16021,11257.28,2022-05-15,Payment,Each share us crime.
TX20061,A15620,8523.35,2022-04-29,Withdrawal,Him sure many leader professional.
TX20062,A12141,-1417.36,2023-09-17,Deposit,Should kid according.
TX20063,A15499,9227.69,2025-04-24,Transfer,Boy raise have.
TX20064,A15350,1533.84,2024-08-26,Withdrawal,Large nature.
TX20065,A16227,-956.04,2023-08-10,Deposit,Great forward although have.
TX20066,A14322,-2189.14,2022-10-08,Transfer,Peace arm plant weight civil.
TX20067,A17099,-4209.56,2025-04-06,Transfer,Look statement significant company.
TX20068,A12440,6884.36,2024-10-27,Deposit,Whom upon choice phone about.
TX20069,A13026,12216.85,2021-08-11,Transfer,Worker apply life behind.
TX20070,A17662,8429.77,2021-04-23,Transfer,Deep data.
TX20071,A13562,13078.86,2022-09-17,Withdrawal,Worry experience.
TX20072,A13085,11527.75,2023-02-05,Payment,Learn many so husband job.
TX20073,A16142,818.62,2024-08-30,Transfer,Administration week anyone.
TX20074,A11959,12194.34,2025-04-02,Deposit,Drive provide.
TX20075,A16859,10233.46,2022-04-29,Payment,Stuff politics building might its.
TX20076,A12812,-3995.29,2022-10-29,Transfer,Ball almost.
TX20077,A12400,1962.48,2025-01-09,Transfer,Account collection focus.
TX20078,A10932,13766.77,2021-08-03,Payment,Box soldier market court.
TX20079,A16463,14589.1,2025-05-17,Transfer,Sell lot attack.
TX20080,A12089,6576.46,2022-11-10,Withdrawal,Another father fly control.
TX20081,A15795,16454.41,2022-06-25,Withdrawal,Say far.
TX20082,A17844,342.76,2024-06-24,Transfer,Cell head bar here development.
TX20083,A13980,13309.64,2023-12-23,Transfer,Floor vote toward.
TX20084,A11368,14727.21,2023-12-25,Transfer,Rich gun pick other.
TX20085,A16785,11518.56,2022-08-10,Payment,My arm position.
TX20086,A11114,7814.41,2024-06-20,Transfer,Not conference someone.
TX20087,A12249,464.2,2021-10-07,Transfer,Fast hard.
TX20088,A16838,13377.84,2020-12-13,Transfer,All lot.
TX20089,A16908,-2857.87,2020-09-10,Payment,He woman natural player former.
TX20090,A16639,4198.97,2022-04-26,Withdrawal,Total across computer push.
TX20091,A17224,4357.14,2020-12-17,Deposit,Call strong.
TX20092,A12701,19375.53,2024-10-03,Withdrawal,Chair throw worry.
TX20093,A15525,17.28,2024-06-30,Transfer,Likely also grow every.
TX20094,A16053,83.88,2023-10-10,Deposit,Successful long television.
TX20095,A10292,442.05,2023-07-05,Deposit,Represent yourself so generation statement.
TX20096,A10394,6839.69,2024-04-22,Withdrawal,Third really because discussion happy.
TX20097,A17219,18507.28,2021-12-18,Transfer,Put book court take.
TX20098,A16256,5784.64,2024-08-17,Payment,Tell exist little.
TX20099,A14672,11216.73,2024-11-23,Transfer,Civil loss one.
TX20100,A10607,4033.54,2020-07-09,Deposit,Police company collection.
TX20101,A13053,6179.1,2025-03-19,Deposit,Spring risk gun interesting.
TX20102,A13190,11478.12,2023-10-09,Deposit,Property agent company watch mouth.
TX20103,A10648,11513.24,2021-08-19,Transfer,Model professor east gas.
TX20104,A10089,15296.87,2021-05-14,Withdrawal,Contain sing research fly first.
TX20105,A16848,3223.77,2023-02-15,Deposit,Example group candidate.
TX20106,A10190,7909.6,2021-09-12,Payment,But environment knowledge.
TX20107,A10664,-3710.06,2024-06-05,Withdrawal,Particular available.
TX20108,A14868,15718.71,2025-06-12,Transfer,Best tonight.
TX20109,A10107,18536.22,2025-03-08,Payment,Of because Mr religious.
TX20110,A17127,-4731.74,2021-10-27,Deposit,Any central bill close.
TX20111,A15509,-1043.43,2024-04-12,Deposit,Risk give design activity into.
TX20112,A12312,4748.22,2021-01-03,Withdrawal,Force rule spend.
TX20113,A15597,12467.14,2022-12-16,Transfer,Across wide talk.
TX20114,A10487,18313.27,2022-07-21,Transfer,Media life their activity summer.
TX20115,A14079,10039.22,2024-07-23,Withdrawal,College old yard station southern.
TX20116,A14214,3879.78,2024-02-24,Withdrawal,Nation long for detail check.
TX20117,A10876,-4518.19,2022-12-30,Transfer,Note Mrs wait trade what.
TX20118,A13170,6762.84,2022-10-01,Withdrawal,Eat history Mr.
TX20119,A15159,2607.51,2024-07-31,Withdrawal,Morning ball wrong wide.
TX20120,A15650,-3069.37,2024-06-15,Deposit,Economic stock mouth history.
TX20121,A11228,14231.0,2021-08-26,Withdrawal,North test interesting.
TX20122,A10039,9975.34,2020-10-13,Transfer,Wide seven.
TX20123,A11486,2396.23,2023-08-26,Payment,Security book on recognize.
TX20124,A11821,1497.21,2023-12-28,Withdrawal,Road movement involve fall.
TX20125,A13222,16652.25,2021-04-02,Transfer,War low.
TX20126,A14746,522.99,2023-02-28,Deposit,Keep car.
